slice	rho_of_slice	gamma	lambda
0	1.4	20.945920	-176.398381
1	1.4684210526315788	29.421783	-159.528184
2	1.5368421052631578	34.544219	-109.943274
3	1.6052631578947367	30.784076	-67.979052
4	1.6736842105263157	24.504864	-53.566325
5	1.7421052631578946	16.750409	-42.055358
6	1.8105263157894738	7.272117	-120.942151
7	1.8789473684210527	21.620472	-187.792881
8	1.9473684210526316	33.069317	-193.271406
9	2.015789473684211	49.766950	-154.214655
10	2.0842105263157897	50.024169	-57.708542
11	2.1526315789473687	39.166496	-2.060537
12	2.2210526315789476	23.687669	17.041637
13	2.2894736842105265	7.594194	20.714995
14	2.3578947368421055	-8.575235	25.402243
15	2.4263157894736844	-25.156222	36.866524
16	2.4947368421052634	-43.005819	44.618978
17	2.5631578947368423	-59.304621	54.785271
18	2.6315789473684212	-75.954634	138.968556
19	2.7	-111.521883	239.939187
