0 4 7 1 0
1 21 10 0 -1
2 22 34 0 1
3 13 26 0 1
4 25 27 1 0
5 41 16 0 -1
6 12 37 0 -1
7 11 30 0 1
8 7 9 -1 0
9 1 12 -1 0
10 27 3 -1 0
11 70 15 1 0
12 16 17 1 0
13 52 0 -1 0
14 39 15 0 1
15 1 1 1 0
16 8 9 0 1
17 25 23 -1 0
18 39 5 -1 0
19 1 14 0 -1
20 6 12 1 0
21 38 35 1 0
22 5 5 1 0
23 95 0 0 -1
24 3 23 0 1
25 33 38 -1 0
26 36 38 0 -1
27 56 6 0 -1
28 58 16 0 1
29 14 35 0 -1
30 28 5 0 -1
31 17 6 1 0
32 92 6 0 -1
33 63 4 0 1
34 7 9 0 -1
35 40 18 0 -1
36 64 14 -1 0
37 25 11 -1 0
38 92 22 0 1
39 7 14 1 0
40 38 17 1 0
41 11 37 0 -1
42 60 24 1 0
43 20 38 1 0
44 62 19 0 1
45 24 6 1 0
46 26 4 0 1
47 59 8 0 -1
48 85 26 0 -1
49 94 26 0 -1
50 36 36 -1 0
51 46 32 -1 0
52 78 5 0 -1
53 51 20 0 -1
54 23 39 1 0
55 41 8 0 1
56 97 25 0 1
57 39 10 -1 0
58 41 6 -1 0
59 11 17 0 1
60 46 3 0 1
61 43 28 0 -1
62 92 21 1 0
63 66 36 1 0
64 1 39 0 1
65 11 35 1 0
66 77 0 1 0
67 97 25 1 0
68 28 4 -1 0
69 92 10 0 -1
70 19 33 1 0
71 45 38 -1 0
72 20 36 0 -1
73 58 23 0 1
74 41 21 -1 0
75 11 38 0 1
76 42 10 0 1
77 40 36 0 -1
78 47 15 0 1
79 20 31 0 1
80 43 16 1 0
81 22 29 -1 0
82 30 2 0 -1
83 18 30 1 0
84 43 4 0 1
85 26 4 -1 0
86 25 37 -1 0
87 19 6 0 1
88 89 18 0 1
89 46 5 -1 0
90 31 4 0 1
91 21 2 0 1
92 64 8 0 -1
93 2 22 0 -1
94 15 1 1 0
95 68 12 -1 0
96 84 19 1 0
97 56 9 1 0
98 37 27 -1 0
99 25 5 1 0
100 15 16 -1 0
101 16 14 1 0
102 2 16 0 -1
103 32 10 0 -1
104 95 31 0 -1
105 20 24 -1 0
106 28 8 1 0
107 30 6 -1 0
108 20 10 0 1
109 42 5 -1 0
110 54 30 0 -1
