slice	rho_of_slice	gamma	lambda
0	1.8	-620.861115	2102.614123
1	1.8315789473684212	-754.888716	2576.307971
2	1.8631578947368421	-946.265709	3275.995213
3	1.8947368421052633	-1164.855597	4.277901
4	1.9263157894736842	-937.382003	-13122.024965
5	1.9578947368421054	503.729296	-15815.394730
6	1.9894736842105263	1050.882307	-3534.182813
7	2.0210526315789474	927.114724	2113.449423
8	2.0526315789473686	759.526334	2169.023334
9	2.0842105263157893	629.614015	1624.304158
10	2.1157894736842104	531.790181	1211.929411
11	2.1473684210526316	454.758785	931.879749
12	2.1789473684210527	393.011320	722.199062
13	2.2105263157894735	343.076128	560.436071
14	2.2421052631578946	302.266090	435.293394
15	2.2736842105263158	268.534572	337.895679
16	2.305263157894737	240.318253	262.471076
17	2.336842105263158	216.305007	205.327499
18	2.3684210526315788	195.413027	159.667689
19	2.4	177.210066	138.101590
