slice	rho_of_slice	gamma	lambda
0	1.3	-218.699200	99.391213
1	1.335897435897436	-233.821205	114.454031
2	1.3717948717948718	-250.481252	142.708244
3	1.4076923076923078	-269.062111	171.363655
4	1.4435897435897436	-289.250304	190.870135
5	1.4794871794871796	-310.012139	193.128991
6	1.5153846153846153	-329.812347	184.960250
7	1.5512820512820513	-348.545320	185.167457
8	1.5871794871794873	-367.386902	205.817997
9	1.623076923076923	-387.998869	253.615093
10	1.658974358974359	-412.539152	328.103473
11	1.694871794871795	-442.601652	425.100189
12	1.7307692307692308	-479.702412	548.049627
13	1.7666666666666668	-525.863550	703.411221
14	1.8025641025641028	-583.438165	898.339193
15	1.8384615384615386	-655.350795	1144.933175
16	1.8743589743589744	-745.522532	1451.439253
17	1.9102564102564104	-857.828349	1782.544683
18	1.9461538461538463	-990.812424	1912.070991
19	1.9820512820512821	-1115.592590	835.428953
20	2.017948717948718	-1086.845511	-4247.484209
21	2.053846153846154	-477.785881	-12465.616854
22	2.08974358974359	715.796361	-12188.329258
23	2.1256410256410256	1242.319333	-3394.321921
24	2.161538461538462	1147.158473	1642.770381
25	2.1974358974358976	948.398664	2160.934049
26	2.2333333333333334	782.997904	1672.764760
27	2.269230769230769	658.434448	1205.006089
28	2.3051282051282054	563.298158	884.826461
29	2.341025641025641	486.973670	678.291785
30	2.3769230769230774	423.260420	530.649694
31	2.412820512820513	369.611687	406.051006
32	2.448717948717949	324.990523	297.909622
33	2.4846153846153847	287.708375	208.078878
34	2.5205128205128204	256.454321	138.907209
35	2.5564102564102567	229.178824	95.907208
36	2.5923076923076924	203.879136	71.623989
37	2.6282051282051286	179.740893	45.449463
38	2.6641025641025644	157.773281	6.188622
39	2.7	138.491306	-22.690213
