0 37 31 1 0
1 36 2 0 -1
2 37 32 1 0
3 2 24 0 1
4 10 37 1 0
5 3 6 1 0
6 8 27 0 1
7 38 3 0 -1
8 3 13 0 -1
9 8 26 0 1
10 39 1 1 0
11 37 0 -1 0
12 4 11 0 -1
13 39 36 -1 0
14 4 30 1 0
15 9 33 1 0
16 5 25 1 0
17 36 22 1 0
18 3 8 0 -1
19 28 7 0 1
20 31 3 0 -1
21 30 39 1 0
22 30 0 1 0
23 4 31 0 -1
24 35 15 0 1
25 37 16 -1 0
26 36 39 1 0
27 35 19 1 0
28 5 36 -1 0
29 39 1 0 -1
30 9 35 1 0
31 34 35 0 1
32 12 35 0 1
33 0 11 -1 0
34 7 16 0 1
35 8 17 0 -1
36 38 36 1 0
37 35 23 1 0
38 3 29 1 0
39 36 32 0 1
40 37 24 1 0
41 33 11 0 -1
42 31 1 0 1
43 4 30 1 0
44 5 28 1 0
45 36 4 1 0
46 2 25 -1 0
47 2 10 -1 0
48 4 24 1 0
49 7 5 -1 0
50 36 37 1 0
51 39 10 -1 0
52 39 13 -1 0
53 39 38 1 0
54 34 1 -1 0
55 2 5 0 -1
56 35 22 1 0
57 31 2 -1 0
58 3 17 0 1
59 3 37 0 1
60 6 17 1 0
61 5 29 -1 0
62 0 14 1 0
63 4 4 0 1
64 32 1 0 -1
65 39 30 1 0
66 37 17 0 1
67 11 38 -1 0
68 2 11 0 1
69 38 23 0 -1
70 39 14 -1 0
71 37 5 0 1
72 3 30 1 0
73 1 26 0 -1
74 34 4 0 -1
75 6 7 -1 0
76 2 38 0 1
77 6 37 -1 0
78 36 22 0 1
79 34 17 1 0
80 2 4 0 1
81 2 6 1 0
82 38 24 0 1
83 4 36 0 -1
84 37 32 1 0
85 38 22 1 0
86 7 10 0 1
87 39 15 -1 0
88 39 34 -1 0
89 35 34 0 -1
90 7 27 1 0
91 37 11 0 1
92 39 6 0 -1
93 6 28 -1 0
94 13 35 -1 0
95 2 33 -1 0
96 8 29 0 -1
97 9 36 0 1
98 1 13 0 1
99 38 13 0 1
100 35 38 0 -1
101 30 0 0 1
102 5 37 0 -1
103 36 6 0 -1
104 36 5 0 -1
105 34 39 0 -1
106 3 20 0 1
107 1 38 1 0
108 37 12 0 -1
109 4 18 -1 0
110 37 30 1 0
111 5 26 0 1
112 8 29 0 -1
113 36 33 0 1
114 38 28 0 -1
115 35 6 0 -1
116 5 38 -1 0
117 22 37 0 -1
118 5 5 0 1
119 0 34 0 -1
120 34 38 0 -1
121 35 34 0 -1
122 6 15 0 1
123 39 17 -1 0
124 37 37 0 -1
125 2 0 1 0
126 0 11 -1 0
127 13 37 -1 0
128 11 33 -1 0
129 2 26 0 1
130 5 17 0 -1
131 11 36 1 0
132 3 20 0 -1
133 38 10 1 0
134 38 16 1 0
135 3 35 1 0
136 3 30 0 -1
137 38 1 -1 0
138 6 5 0 1
139 37 16 -1 0
140 14 5 0 -1
141 5 31 1 0
142 39 28 1 0
143 6 30 -1 0
144 4 37 -1 0
145 4 29 -1 0
146 39 3 0 1
147 3 14 -1 0
148 3 25 -1 0
149 1 8 0 -1
150 3 26 1 0
151 1 12 -1 0
152 39 3 0 -1
153 5 5 -1 0
154 3 39 0 -1
155 35 2 -1 0
156 3 5 -1 0
