slice	rho_of_slice	gamma	lambda
0	1.3	-189.847340	120.024819
1	1.335897435897436	-205.789686	145.934009
2	1.3717948717948718	-225.195764	197.443411
3	1.4076923076923078	-248.416151	158.330009
4	1.4435897435897436	-262.159500	72.722878
5	1.4794871794871796	-272.312268	-177.121732
6	1.5153846153846153	-249.253789	-258.873419
7	1.5512820512820513	-245.059127	232.275691
8	1.5871794871794873	-291.044534	490.677603
9	1.623076923076923	-324.279625	359.023672
10	1.658974358974359	-350.867575	383.482984
11	1.694871794871795	-386.734434	312.697063
12	1.7307692307692308	-402.186086	299.680736
13	1.7666666666666668	-434.650966	680.954396
14	1.8025641025641028	-503.391545	990.117278
15	1.8384615384615386	-578.611579	502.108904
16	1.8743589743589744	-574.939249	-1690.964904
17	1.9102564102564104	-332.603992	-5349.244073
18	1.9461538461538463	196.615409	-5764.491348
19	1.9820512820512821	492.139317	-2299.692509
20	2.017948717948718	516.634008	138.367916
21	2.053846153846154	458.621415	810.726436
22	2.08974358974359	385.405852	849.074020
23	2.1256410256410256	321.886262	710.079631
24	2.161538461538462	268.980697	624.507222
25	2.1974358974358976	218.281989	583.403207
26	2.2333333333333334	172.307642	459.667892
27	2.269230769230769	140.677835	267.397845
28	2.3051282051282054	123.092554	120.873942
29	2.341025641025641	112.517220	60.944095
30	2.3769230769230774	103.126992	66.092331
31	2.412820512820513	91.400318	84.476135
32	2.448717948717949	79.324251	67.653751
33	2.4846153846153847	70.137724	34.031989
34	2.5205128205128204	62.739392	16.054524
35	2.5564102564102567	55.783273	8.906631
36	2.5923076923076924	49.016150	3.768283
37	2.6282051282051286	42.373372	-1.660319
38	2.6641025641025644	35.916810	-7.345723
39	2.7	29.517408	-12.718332
