slice	rho_of_slice	gamma	lambda
0	1.3	-221.224186	77.860156
1	1.335897435897436	-239.701793	123.726470
2	1.3717948717948718	-263.783689	53.045673
3	1.4076923076923078	-271.618260	-619.440746
4	1.4435897435897436	-197.075878	-1362.831471
5	1.4794871794871796	-90.285144	-470.021180
6	1.5153846153846153	-135.327892	904.612953
7	1.5512820512820513	-227.614854	741.192137
8	1.5871794871794873	-252.788811	117.342944
9	1.623076923076923	-255.019351	122.528556
10	1.658974358974359	-279.467646	17.160147
11	1.694871794871795	-265.791132	-169.982124
12	1.7307692307692308	-261.425711	-37.537096
13	1.7666666666666668	-265.243049	-164.355070
14	1.8025641025641028	-241.307688	-539.414314
15	1.8384615384615386	-189.653744	-1053.429261
16	1.8743589743589744	-90.483725	-1742.508456
17	1.9102564102564104	60.865300	-1917.701012
18	1.9461538461538463	184.343599	-1252.140564
19	1.9820512820512821	237.849937	-441.888163
20	2.017948717948718	242.635334	25.543876
21	2.053846153846154	227.321113	117.144503
22	2.08974358974359	217.855536	61.008111
23	2.1256410256410256	209.461680	159.630651
24	2.161538461538462	184.738271	293.630262
25	2.1974358974358976	156.879462	256.459204
26	2.2333333333333334	137.660684	144.701268
27	2.269230769230769	125.708992	73.022409
28	2.3051282051282054	116.282398	55.739577
29	2.341025641025641	106.208398	68.245301
30	2.3769230769230774	94.535140	74.348561
31	2.412820512820513	83.421892	50.251279
32	2.448717948717949	75.105462	17.111283
33	2.4846153846153847	68.354991	-0.424308
34	2.5205128205128204	61.951766	-4.939478
35	2.5564102564102567	55.177385	-4.751379
36	2.5923076923076924	48.129856	-6.272445
37	2.6282051282051286	41.001265	-10.792866
38	2.6641025641025644	34.028615	-19.205998
39	2.7	27.434510	-28.518861
