slice	rho_of_slice	gamma	lambda
0	1.4	87.212273	-22.293694
1	1.4684210526315788	97.339172	-44.736800
2	1.5368421052631578	111.342163	-100.688821
3	1.6052631578947367	135.234066	-175.729729
4	1.6736842105263157	169.085082	-182.674480
5	1.7421052631578946	194.201433	-58.336336
6	1.8105263157894738	191.597753	61.575313
7	1.8789473684210527	179.654482	47.888167
8	1.9473684210526316	176.692647	23.748108
9	2.015789473684211	167.723090	74.843117
10	2.0842105263157897	147.315299	79.308580
11	2.1526315789473687	134.358446	-23.404668
12	2.2210526315789476	139.363443	-103.409256
13	2.2894736842105265	144.032902	-68.916406
14	2.3578947368421055	134.366004	-21.894225
15	2.4263157894736844	121.935883	-25.264438
16	2.4947368421052634	108.908355	-28.737898
17	2.5631578947368423	92.614886	-29.287862
18	2.6315789473684212	75.004582	-48.792792
19	2.7	58.727710	-83.742101
