slice	rho_of_slice	gamma	lambda
0	1.4	641.258874	16403.629061
1	1.426530612244898	-214.780632	13029.284507
2	1.4530612244897958	-777.434032	6318.265976
3	1.4795918367346939	-955.783450	1084.296509
4	1.5061224489795917	-968.552126	-929.283872
5	1.5326530612244897	-928.436686	-1480.179423
6	1.5591836734693878	-875.699368	-1498.465206
7	1.5857142857142856	-826.783595	-1315.921760
8	1.6122448979591837	-787.470066	-1082.487358
9	1.6387755102040815	-758.369109	-858.569080
10	1.6653061224489796	-738.695636	-652.426593
11	1.6918367346938776	-728.001602	-460.676686
12	1.7183673469387755	-725.716818	-286.254991
13	1.7448979591836735	-730.953897	-127.141268
14	1.7714285714285714	-743.240112	23.117513
15	1.7979591836734694	-762.281445	167.057422
16	1.8244897959183675	-787.796227	305.057910
17	1.8510204081632653	-819.459930	437.132758
18	1.8775510204081634	-856.926673	561.760759
19	1.9040816326530612	-899.649852	674.806085
20	1.9306122448979592	-946.787841	771.242539
21	1.9571428571428573	-997.209197	843.987083
22	1.9836734693877551	-1049.278018	881.035450
23	2.010204081632653	-1100.559826	865.402923
24	2.036734693877551	-1147.609528	771.780030
25	2.063265306122449	-1185.335794	558.106185
26	2.089795918367347	-1205.917686	144.545172
27	2.1163265306122447	-1195.980838	-609.742107
28	2.142857142857143	-1133.149366	-1903.371662
29	2.169387755102041	-983.734160	-3834.305128
30	2.195918367346939	-716.314634	-6006.371580
31	2.222448979591837	-341.005684	-7422.643540
32	2.2489795918367346	66.901180	-7251.623631
33	2.2755102040816326	410.504880	-5667.666847
34	2.3020408163265307	636.317218	-3594.468859
35	2.3285714285714287	748.315744	-1834.504332
36	2.355102040816327	779.210914	-663.092819
37	2.3816326530612244	761.802919	-0.229465
38	2.408163265306123	719.459160	325.252928
39	2.4346938775510205	666.024899	461.897646
40	2.4612244897959186	608.546863	499.555944
41	2.4877551020408166	551.013122	475.048100
42	2.5142857142857142	496.340403	407.130048
43	2.5408163265306127	446.307651	314.920034
44	2.5673469387755103	401.611682	216.742571
45	2.5938775510204084	361.940479	129.371017
46	2.6204081632653065	326.129785	62.083586
47	2.646938775510204	292.885593	13.316641
48	2.673469387755102	261.243546	-28.531543
49	2.7	231.153286	-59.092131
