nr_slice	rho	gamma	lambda
0	1.4	1789.138885	5194.777292
1	1.4142857142857141	1649.123383	4795.069126
2	1.4285714285714284	1513.423830	4135.813591
3	1.4428571428571428	1394.983394	3148.812363
4	1.457142857142857	1303.760191	2126.980891
5	1.4714285714285713	1236.814912	1411.433437
6	1.4857142857142855	1183.211459	1037.724374
7	1.5	1135.862604	1074.463390
8	1.5142857142857142	1078.749196	1573.010729
9	1.5285714285714285	999.845180	2106.838747
10	1.5428571428571427	906.459507	2275.254520
11	1.5571428571428572	810.837644	2029.208194
12	1.5714285714285714	724.780855	1557.891710
13	1.5857142857142856	650.952022	1131.120922
14	1.5999999999999999	585.778735	846.496513
15	1.6142857142857143	525.821152	689.552696
16	1.6285714285714286	467.911108	618.140401
17	1.6428571428571428	410.702463	579.411145
18	1.657142857142857	353.916939	542.292102
19	1.6714285714285713	297.946882	493.298464
20	1.6857142857142857	243.291024	431.423009
21	1.7	190.407851	358.348782
22	1.7142857142857142	139.702569	276.941575
23	1.7285714285714286	91.467412	192.103838
24	1.7428571428571429	45.817103	107.136281
25	1.7571428571428571	2.836756	23.249971
26	1.7714285714285714	-37.447129	-58.224899
27	1.7857142857142856	-75.044843	-136.548740
28	1.8	-109.990120	-210.684563
29	1.8142857142857143	-142.370061	-279.934371
30	1.8285714285714285	-172.276920	-344.530714
31	1.842857142857143	-199.801546	-404.461929
32	1.8571428571428572	-225.052016	-459.332920
33	1.8714285714285714	-248.155663	-508.447120
34	1.8857142857142857	-269.272926	-551.589276
35	1.9	-288.555217	-589.149436
36	1.9142857142857141	-306.150625	-621.203770
37	1.9285714285714286	-322.214425	-648.311724
38	1.9428571428571428	-336.869796	-671.231495
39	1.9571428571428573	-350.233695	-690.869250
40	1.9714285714285715	-362.381293	-708.042480
41	1.9857142857142858	-373.385426	-722.875474
42	2.0	-383.316773	-735.656595
43	2.0142857142857142	-392.234236	-746.818837
44	2.0285714285714285	-400.186167	-756.412342
45	2.0428571428571427	-407.230743	-764.040317
46	2.057142857142857	-413.441128	-769.238532
47	2.0714285714285716	-418.903876	-771.568485
48	2.085714285714286	-423.718571	-771.170008
49	2.1	-427.964664	-759.840301
