slice	rho_of_slice	gamma	lambda
0	1.4	-901.488527	-3652.710353
1	1.426530612244898	-739.539935	-3045.628476
2	1.4530612244897958	-630.558097	-2102.602922
3	1.4795918367346939	-561.142239	-1460.523836
4	1.5061224489795917	-515.285682	-1069.430226
5	1.5326530612244897	-483.811742	-821.612478
6	1.5591836734693878	-461.566239	-655.744943
7	1.5857142857142856	-445.564246	-538.077726
8	1.6122448979591837	-434.050748	-449.951902
9	1.6387755102040815	-425.909804	-380.542868
10	1.6653061224489796	-420.462208	-322.905417
11	1.6918367346938776	-417.279755	-274.080793
12	1.7183673469387755	-415.961897	-233.187815
13	1.7448979591836735	-416.146209	-198.875521
14	1.7714285714285714	-417.553973	-169.480244
15	1.7979591836734694	-419.983127	-143.530744
16	1.8244897959183675	-423.298694	-120.097337
17	1.8510204081632653	-427.387271	-98.752705
18	1.8775510204081634	-432.151147	-79.237423
19	1.9040816326530612	-437.497886	-61.478823
20	1.9306122448979592	-443.332015	-45.407494
21	1.9571428571428573	-449.563814	-31.126213
22	1.9836734693877551	-456.082923	-18.493247
23	2.010204081632653	-462.811377	-6.829263
24	2.036734693877551	-469.707708	4.630535
25	2.063265306122449	-476.771470	16.970029
26	2.089795918367347	-484.071725	31.334634
27	2.1163265306122447	-491.723144	48.260954
28	2.142857142857143	-499.843424	67.556575
29	2.169387755102041	-508.517087	88.642029
30	2.195918367346939	-517.790031	111.320913
31	2.222448979591837	-527.715555	135.717957
32	2.2489795918367346	-538.340701	161.663509
33	2.2755102040816326	-549.687284	187.894738
34	2.3020408163265307	-561.654289	213.287237
35	2.3285714285714287	-574.134049	238.539524
36	2.355102040816327	-587.090305	265.463919
37	2.3816326530612244	-600.595622	296.439625
38	2.408163265306123	-614.846928	333.562045
39	2.4346938775510205	-630.110579	376.879574
40	2.4612244897959186	-646.550729	424.526095
41	2.4877551020408166	-664.193769	477.326069
42	2.5142857142857142	-683.246900	537.286625
43	2.5408163265306127	-703.883648	608.359072
44	2.5673469387755103	-726.647860	697.828561
45	2.5938775510204084	-752.355839	806.835355
46	2.6204081632653065	-781.481586	924.496748
47	2.646938775510204	-813.465996	1036.796574
48	2.673469387755102	-847.106565	1141.560753
49	2.7	-881.440651	1245.993103
