sim	folder	gamma	lambda
0	d0.9_t0.09_time500000_gamma-0.5	27.51470649856837	-22.257992912101784
1	d0.9_t0.11_time500000_gamma-0.5	25.36517595076856	-25.382434918928002
2	d0.8_t0.11_time500000_gamma-0.5	19.08815925607775	-17.547165394098982
3	d0.7_t0.13_time500000_gamma-0.5	16.55204181711578	-11.58657667744048
4	d0.8_t0.09_time500000_gamma-0.5	18.330434885864772	-18.402318846665132
5	d0.9_t0.13_time500000_gamma-0.5	28.172080979750113	-23.83477004164244
6	d0.7_t0.09_time500000_gamma-0.5	13.777499816871966	-12.188136683239051
7	d0.8_t0.13_time500000_gamma-0.5	22.044895689306102	-17.3740379081834
8	d0.7_t0.11_time500000_gamma-0.5	14.996382035289223	-12.357737463365805
