slice	rho_of_slice	gamma	lambda
0	1.4	-901.488527	-2900.585860
1	1.4684210526315788	-586.753931	-1932.928397
2	1.5368421052631578	-479.782181	-860.157273
3	1.6052631578947367	-436.717230	-489.492524
4	1.6736842105263157	-419.230580	-313.819612
5	1.7421052631578946	-416.064984	-206.654776
6	1.8105263157894738	-421.450367	-134.198971
7	1.8789473684210527	-432.418925	-79.915559
8	1.9473684210526316	-447.229190	-37.870158
9	2.015789473684211	-464.249899	-4.577081
10	2.0842105263157897	-482.509634	30.043123
11	2.1526315789473687	-502.972297	76.207352
12	2.2210526315789476	-527.176236	134.882505
13	2.2894736842105265	-555.916434	199.815383
14	2.3578947368421055	-588.483659	271.043153
15	2.4263157894736844	-625.166142	365.137037
16	2.4947368421052634	-669.063447	496.533832
17	2.5631578947368423	-722.876371	692.997761
18	2.6315789473684212	-794.670240	955.936578
19	2.7	-881.440651	1233.019110
