slice	rho_of_slice	gamma	lambda
0	1.3	-507.988251	32.006658
1	1.335897435897436	-519.158989	13.324149
2	1.3717948717948718	-525.922260	-8.388331
3	1.4076923076923078	-532.255808	14.990988
4	1.4435897435897436	-540.737840	68.616699
5	1.4794871794871796	-553.219115	139.215734
6	1.5153846153846153	-570.342550	210.135289
7	1.5512820512820513	-591.518799	271.519843
8	1.5871794871794873	-615.924722	321.990287
9	1.623076923076923	-642.732168	361.602917
10	1.658974358974359	-671.096742	386.716393
11	1.694871794871795	-699.649391	397.613243
12	1.7307692307692308	-727.585131	407.069875
13	1.7666666666666668	-755.375485	426.241085
14	1.8025641025641028	-783.809625	458.120610
15	1.8384615384615386	-813.767657	504.500124
16	1.8743589743589744	-846.262648	568.053659
17	1.9102564102564104	-882.510750	652.622253
18	1.9461538461538463	-924.009484	764.226878
19	1.9820512820512821	-972.746966	912.782843
20	2.017948717948718	-1031.513554	1110.505887
21	2.053846153846154	-1103.861427	1369.209630
22	2.08974358974359	-1194.014214	1689.029671
23	2.1256410256410256	-1305.192451	2033.140061
24	2.161538461538462	-1435.946987	2339.219408
25	2.1974358974358976	-1580.314846	2527.689897
26	2.2333333333333334	-1725.405126	2456.764453
27	2.269230769230769	-1845.320553	1904.913702
28	2.3051282051282054	-1896.743506	615.822644
29	2.341025641025641	-1819.919650	-1714.151045
30	2.3769230769230774	-1532.888388	-5376.613861
31	2.412820512820513	-942.055152	-10196.503408
32	2.448717948717949	-1.852833	-13140.522225
33	2.4846153846153847	935.466192	-10312.787400
34	2.5205128205128204	1380.485274	-4414.416405
35	2.5564102564102567	1416.676254	-509.896717
36	2.5923076923076924	1283.186603	962.822503
37	2.6282051282051286	1108.087519	1252.654685
38	2.6641025641025644	939.494258	1117.825703
39	2.7	791.305889	1019.814023
