nr_slice	rho	gamma	lambda
0	1.3	-459.652689	442.584333
1	1.335897435897436	-500.606254	162.820267
2	1.3717948717948718	-500.534965	-270.036095
3	1.4076923076923078	-476.891046	14.241248
4	1.4435897435897436	-515.098278	407.374628
5	1.4794871794871796	-547.140008	213.821182
6	1.5153846153846153	-556.352924	260.617885
7	1.5512820512820513	-593.525665	606.333155
8	1.5871794871794873	-651.174361	759.043694
9	1.623076923076923	-709.014954	777.716514
10	1.658974358974359	-767.752617	906.414827
11	1.694871794871795	-842.191210	1171.855196
12	1.7307692307692308	-936.839619	1504.027676
13	1.7666666666666668	-1056.272244	1937.601611
14	1.8025641025641028	-1209.755852	2540.462421
15	1.8384615384615386	-1411.290231	3418.250550
16	1.8743589743589744	-1684.812659	4788.400332
17	1.9102564102564104	-2074.710032	7120.083618
18	1.9461538461538463	-2670.757591	11398.757697
19	1.9820512820512821	-3655.731454	17665.366544
20	2.017948717948718	-5118.632191	-18610.291271
21	2.053846153846154	-841.611749	-70663.550611
22	2.08974358974359	5051.509084	-32042.543575
23	2.1256410256410256	3578.278506	16595.623082
24	2.161538461538462	2525.900690	10859.101544
25	2.1974358974358976	1907.284635	6399.947885
26	2.2333333333333334	1513.605497	4062.877492
27	2.269230769230769	1242.185019	2767.971580
28	2.3051282051282054	1042.302073	1989.727489
29	2.341025641025641	888.296557	1477.201636
30	2.3769230769230774	766.254733	1118.533106
31	2.412820512820513	666.966110	864.359334
32	2.448717948717949	583.874020	687.075352
33	2.4846153846153847	511.946535	561.937544
34	2.5205128205128204	448.384602	455.882899
35	2.5564102564102567	392.999569	360.253527
36	2.5923076923076924	344.110445	291.441112
37	2.6282051282051286	299.197301	249.430543
38	2.6641025641025644	256.748411	214.546387
39	2.7	217.178213	195.202107
