nr_slice	rho	gamma	lambda
0	1.4	140.897014	-394.729430
1	1.426530612244898	165.787624	-405.199615
2	1.4530612244897958	192.570913	-367.492325
3	1.4795918367346939	214.131803	-96.485941
4	1.5061224489795917	212.301775	594.451152
5	1.5326530612244897	159.320909	1570.483614
6	1.5591836734693878	50.383138	2143.816734
7	1.5857142857142856	-68.788557	1881.664766
8	1.6122448979591837	-154.657849	1192.693689
9	1.6387755102040815	-203.354268	598.096891
10	1.6653061224489796	-227.003002	220.368750
11	1.6918367346938776	-235.510545	-1.503799
12	1.7183673469387755	-235.035909	-123.619763
13	1.7448979591836735	-229.808283	-179.527349
14	1.7714285714285714	-222.580092	-195.259016
15	1.7979591836734694	-214.894630	-189.091294
16	1.8244897959183675	-207.593931	-171.305709
17	1.8510204081632653	-201.135886	-147.573558
18	1.8775510204081634	-195.755594	-121.495004
19	1.9040816326530612	-191.518898	-95.017475
20	1.9306122448979592	-188.442354	-68.667645
21	1.9571428571428573	-186.524094	-42.964941
22	1.9836734693877551	-185.714066	-18.873483
23	2.010204081632653	-185.897122	2.295529
24	2.036734693877551	-186.874107	19.161482
25	2.063265306122449	-188.375405	30.550516
26	2.089795918367347	-190.072164	36.034320
27	2.1163265306122447	-191.647638	36.386191
28	2.142857142857143	-192.856259	32.303713
29	2.169387755102041	-193.458292	23.994903
30	2.195918367346939	-193.235955	12.251269
31	2.222448979591837	-192.041444	-1.163617
32	2.2489795918367346	-189.852797	-13.995610
33	2.2755102040816326	-186.768035	-24.168935
34	2.3020408163265307	-182.988130	-29.729625
35	2.3285714285714287	-178.816154	-29.709901
36	2.355102040816327	-174.546621	-25.939003
37	2.3816326530612244	-170.275142	-21.014294
38	2.408163265306123	-166.012618	-14.262777
39	2.4346938775510205	-161.921116	-1.386234
40	2.4612244897959186	-158.452212	20.191094
41	2.4877551020408166	-156.000573	48.111928
42	2.5142857142857142	-154.717325	76.162895
43	2.5408163265306127	-154.291879	92.040740
44	2.5673469387755103	-153.553551	84.907351
45	2.5938775510204084	-151.114682	59.594393
46	2.6204081632653065	-146.456015	35.656746
47	2.646938775510204	-140.358633	28.558904
48	2.673469387755102	-133.888300	39.306503
49	2.7	-127.791150	55.854964
