0 24 34 -1 0
1 21 0 1 0
2 9 39 0 1
3 63 23 -1 0
4 50 4 0 1
5 4 6 1 0
6 60 20 -1 0
7 99 39 0 1
8 60 10 -1 0
9 7 37 0 -1
10 61 1 1 0
11 21 28 -1 0
12 33 23 0 -1
13 49 36 1 0
14 8 30 0 -1
15 27 35 0 -1
16 91 1 0 -1
17 54 22 -1 0
18 79 13 0 -1
19 89 2 -1 0
20 70 34 0 -1
21 62 32 0 1
22 65 37 -1 0
23 18 28 1 0
24 54 32 0 -1
25 44 17 1 0
26 84 2 1 0
27 20 4 0 1
28 31 26 0 -1
29 99 38 0 1
30 25 35 -1 0
31 49 5 0 1
32 41 13 0 1
33 1 11 0 1
34 31 23 0 -1
35 53 37 0 -1
36 89 21 0 1
37 86 6 0 1
38 49 16 0 -1
39 52 13 0 1
40 65 6 0 -1
41 59 29 1 0
42 79 32 0 1
43 11 28 0 1
44 97 30 -1 0
45 61 38 0 1
46 49 33 0 1
47 45 22 -1 0
48 3 25 1 0
49 88 4 0 -1
50 36 37 1 0
51 0 10 0 -1
52 98 7 0 1
53 66 0 1 0
54 36 2 -1 0
55 39 4 -1 0
56 62 3 0 -1
57 44 9 -1 0
58 6 16 1 0
59 62 37 -1 0
60 12 15 -1 0
61 64 9 0 1
62 2 14 0 1
63 31 0 -1 0
64 22 18 1 0
65 27 30 1 0
66 86 17 -1 0
67 47 12 0 -1
68 6 11 -1 0
69 15 34 0 1
70 98 15 0 -1
71 45 3 1 0
72 6 33 -1 0
73 4 26 0 1
74 81 24 0 1
75 73 12 1 0
76 6 38 0 -1
77 43 38 0 -1
78 84 28 0 -1
79 23 12 0 -1
80 34 20 1 0
81 68 0 0 -1
82 97 24 0 1
83 12 38 0 1
84 41 28 0 -1
85 30 24 1 0
86 89 9 0 1
87 38 15 1 0
88 90 34 1 0
89 35 11 0 -1
90 81 30 1 0
91 50 4 0 -1
92 97 7 1 0
93 61 23 -1 0
94 51 18 0 1
95 10 31 0 1
96 72 28 -1 0
97 66 6 0 -1
98 3 11 0 1
99 71 12 1 0
100 6 28 1 0
101 77 13 0 -1
102 55 13 0 1
103 10 39 -1 0
104 15 14 0 -1
105 81 1 1 0
106 10 20 0 -1
107 3 38 -1 0
108 94 36 0 1
109 16 17 0 1
110 0 5 -1 0
111 47 38 -1 0
112 48 14 0 -1
113 42 36 0 1
114 70 31 -1 0
115 51 14 0 -1
116 24 34 0 -1
117 57 4 0 -1
118 86 17 0 1
119 1 34 -1 0
120 32 2 1 0
121 45 8 1 0
122 15 13 0 1
123 76 17 1 0
124 64 37 1 0
125 11 32 0 1
126 1 11 1 0
127 26 32 1 0
128 18 37 0 1
129 31 27 -1 0
130 69 18 -1 0
131 51 27 0 1
132 58 39 0 1
133 89 36 0 -1
134 72 10 0 -1
135 0 33 0 -1
136 9 17 -1 0
137 77 26 0 1
138 64 1 -1 0
139 22 1 0 1
140 99 33 -1 0
141 9 29 -1 0
142 88 28 1 0
143 24 18 0 1
144 45 31 0 -1
145 41 14 0 -1
146 84 3 1 0
147 40 36 0 -1
148 5 26 1 0
149 0 8 0 -1
150 90 25 -1 0
151 2 12 0 -1
152 99 6 0 -1
153 73 26 0 1
154 11 1 -1 0
155 94 29 0 1
156 66 1 -1 0
157 20 6 0 -1
158 4 11 0 1
159 8 13 -1 0
160 95 33 0 1
161 79 39 1 0
162 55 27 -1 0
163 2 32 0 1
164 79 1 0 1
165 19 31 0 -1
166 14 37 0 1
167 55 4 0 -1
168 12 18 0 -1
169 39 15 0 1
170 15 38 0 1
171 13 30 0 1
172 89 25 1 0
173 75 4 0 1
174 65 10 0 -1
175 50 12 -1 0
176 52 34 1 0
177 2 39 0 -1
178 68 36 0 -1
179 4 17 0 -1
180 44 14 -1 0
181 14 39 -1 0
182 38 39 0 -1
183 33 27 1 0
184 36 26 0 1
185 8 4 1 0
186 94 31 1 0
187 11 1 -1 0
188 25 18 -1 0
189 95 7 1 0
190 69 38 0 -1
191 9 12 1 0
192 28 2 0 -1
193 6 28 -1 0
194 49 29 0 1
195 5 10 -1 0
196 65 37 1 0
197 10 39 0 -1
198 66 33 0 -1
199 13 31 0 1
200 47 17 1 0
201 26 21 0 1
202 24 25 0 -1
203 96 30 0 1
204 19 14 0 -1
205 53 9 0 -1
206 95 33 -1 0
207 49 3 0 1
208 91 2 0 1
209 62 18 0 -1
210 24 21 0 -1
211 52 15 -1 0
212 81 39 0 1
213 92 14 0 1
214 77 27 0 -1
215 43 3 0 1
216 95 1 0 1
217 38 17 -1 0
218 10 1 -1 0
219 68 37 0 -1
220 40 16 0 -1
221 91 20 0 -1
222 47 21 0 -1
223 12 21 1 0
224 66 17 1 0
225 67 21 -1 0
226 50 17 0 1
227 13 16 -1 0
228 16 4 -1 0
229 64 35 1 0
230 98 23 0 1
231 27 10 0 -1
232 78 27 0 1
233 30 4 0 -1
234 6 2 0 -1
235 69 38 0 1
236 69 19 -1 0
237 33 5 0 -1
238 38 31 1 0
239 74 26 0 1
240 61 16 0 1
241 55 16 -1 0
242 29 21 1 0
243 53 21 1 0
244 90 27 0 -1
245 32 36 0 1
246 33 15 -1 0
247 67 6 0 -1
248 22 11 -1 0
249 23 7 0 -1
250 40 32 0 -1
251 79 11 1 0
252 42 4 0 1
253 19 38 0 1
254 37 22 0 1
255 45 37 0 1
256 16 10 0 -1
257 95 32 1 0
258 65 29 1 0
259 46 19 0 1
260 95 6 0 1
261 28 10 1 0
262 27 18 -1 0
263 36 8 0 -1
264 33 20 1 0
265 22 4 0 -1
266 85 8 0 1
267 67 2 -1 0
268 12 13 0 1
269 47 10 1 0
270 97 7 1 0
271 86 28 0 -1
272 4 35 0 -1
273 78 29 0 -1
274 19 33 -1 0
275 82 3 0 -1
276 42 7 0 1
277 87 21 0 -1
278 63 17 1 0
279 78 29 0 -1
280 3 13 0 1
281 56 13 1 0
282 82 31 -1 0
283 60 3 1 0
284 59 37 0 1
285 78 19 0 1
286 60 31 0 -1
287 67 0 0 -1
288 15 11 0 1
289 50 28 1 0
290 73 11 1 0
291 17 10 1 0
292 94 11 0 1
293 45 29 -1 0
294 32 32 1 0
295 42 28 -1 0
296 61 21 1 0
297 74 29 0 -1
298 95 10 0 1
299 1 26 0 1
300 64 20 1 0
301 73 12 -1 0
302 99 12 -1 0
303 78 34 1 0
304 91 34 1 0
305 67 11 1 0
306 13 39 0 -1
307 67 12 1 0
308 47 35 -1 0
309 40 37 0 1
310 18 18 -1 0
311 21 38 -1 0
312 25 24 0 1
313 80 1 -1 0
314 66 38 -1 0
315 2 33 -1 0
316 38 30 -1 0
317 50 22 0 1
318 39 24 0 1
319 69 27 0 -1
320 17 39 0 -1
321 60 0 -1 0
322 89 27 1 0
323 49 20 0 1
324 27 19 -1 0
325 0 26 -1 0
326 73 8 0 -1
327 35 12 -1 0
328 80 5 0 1
329 11 13 1 0
330 85 5 -1 0
331 13 25 -1 0
332 59 16 -1 0
333 72 36 -1 0
334 71 27 -1 0
335 90 1 1 0
336 76 5 0 1
337 42 32 -1 0
338 10 3 0 1
339 9 5 0 1
340 0 5 0 -1
341 72 28 1 0
342 2 34 0 1
343 76 19 0 1
344 94 26 -1 0
345 9 26 0 1
346 23 14 1 0
347 56 32 0 1
348 67 26 0 -1
349 22 11 0 -1
350 49 38 1 0
351 40 2 -1 0
352 15 24 1 0
353 0 11 0 -1
354 87 19 -1 0
355 18 2 0 -1
356 26 13 -1 0
357 32 31 0 1
358 61 24 1 0
359 25 11 0 -1
360 56 18 1 0
361 29 24 0 1
362 56 31 0 1
363 10 14 -1 0
364 9 27 0 -1
365 20 8 0 -1
366 47 4 -1 0
367 64 25 1 0
368 88 26 0 -1
369 53 7 1 0
370 27 37 0 -1
371 94 33 -1 0
372 2 8 0 1
373 54 11 1 0
374 45 26 1 0
375 90 11 0 -1
376 70 38 -1 0
377 89 38 1 0
378 93 16 1 0
379 43 0 1 0
380 53 34 1 0
381 73 2 -1 0
382 83 36 0 -1
383 48 24 0 1
384 73 8 0 1
385 58 30 1 0
386 39 36 0 -1
387 92 12 1 0
388 74 15 -1 0
389 53 39 0 1
390 26 15 1 0
391 28 34 0 -1
392 75 19 1 0
393 49 15 0 1
394 4 32 0 -1
395 12 4 -1 0
396 90 31 0 1
397 89 13 0 -1
398 76 4 1 0
399 94 28 1 0
400 80 2 1 0
401 4 35 1 0
402 17 38 -1 0
403 82 15 0 -1
404 5 13 0 1
