nr_slice	rho	gamma	lambda
0	1.4	-19.450334	-73.039590
1	1.4684210526315788	-15.748007	-50.739880
2	1.5368421052631578	-14.903529	-28.013733
3	1.6052631578947367	-15.710515	-13.544417
4	1.6736842105263157	-17.778744	-10.574568
5	1.7421052631578946	-18.656987	-25.145271
6	1.8105263157894738	-16.019153	-39.280505
7	1.8789473684210527	-12.363201	-31.291734
8	1.9473684210526316	-11.479205	-15.734426
9	2.015789473684211	-11.758056	-11.187658
10	2.0842105263157897	-11.785962	-9.298378
11	2.1526315789473687	-12.289242	-9.001786
12	2.2210526315789476	-12.069505	-13.876767
13	2.2894736842105265	-11.037565	-20.617572
14	2.3578947368421055	-8.988686	-16.501614
15	2.4263157894736844	-9.521541	-22.563120
16	2.4947368421052634	-5.607432	-30.254269
17	2.5631578947368423	-6.207959	-16.081126
18	2.6315789473684212	-6.823107	-29.572726
19	2.7	-5.273076	-68.204714
