slice	rho_of_slice	gamma	lambda
0	1.4	140.897014	-405.326912
1	1.4684210526315788	206.538768	74.190779
2	1.5368421052631578	145.188425	1289.198974
3	1.6052631578947367	-136.048339	1303.757988
4	1.6736842105263157	-230.980539	263.820517
5	1.7421052631578946	-230.489180	-134.673296
6	1.8105263157894738	-211.354503	-172.682958
7	1.8789473684210527	-195.503920	-119.243895
8	1.9473684210526316	-187.097888	-53.407454
9	2.015789473684211	-186.044786	1.853579
10	2.0842105263157897	-189.715724	30.180551
11	2.1526315789473687	-193.161273	25.961450
12	2.2210526315789476	-192.129405	0.072830
13	2.2894736842105265	-184.847548	-22.891060
14	2.3578947368421055	-174.097211	-24.143224
15	2.4263157894736844	-163.174340	0.316509
16	2.4947368421052634	-155.546608	51.057230
17	2.5631578947368423	-153.751411	70.757168
18	2.6315789473684212	-143.997832	46.355610
19	2.7	-127.791150	52.329345
