nr_slice	rho	gamma	lambda
0	1.4	68.264543	216.062099
1	1.4684210526315788	15.860164	-186.984179
2	1.5368421052631578	66.911564	-637.005408
3	1.6052631578947367	151.189127	-494.083100
4	1.6736842105263157	175.418854	-155.588029
5	1.7421052631578946	167.344282	-69.779256
6	1.8105263157894738	164.575012	-134.352070
7	1.8789473684210527	171.037530	-194.324875
8	1.9473684210526316	181.458737	-201.879628
9	2.015789473684211	185.969011	-155.000079
10	2.0842105263157897	178.760084	-102.724888
11	2.1526315789473687	164.121683	-85.601297
12	2.2210526315789476	147.721847	-76.634215
13	2.2894736842105265	126.226585	-60.817152
14	2.3578947368421055	101.777502	-69.715277
15	2.4263157894736844	79.671299	-98.801213
16	2.4947368421052634	59.663185	-122.299435
17	2.5631578947368423	39.376719	-135.039987
18	2.6315789473684212	16.985283	-138.913386
19	2.7	-9.858812	-159.451044
