sim	folder	gamma	lambda
0	d0.76_t0.11_time500000_gamma-0.5	-10.430961806111156	-141.0439026913201
1	d0.86_t0.11_time500000_gamma-0.5	-13.125488814090996	-171.86711755188713
2	d0.9_t0.11_time500000_gamma-0.5	-18.119521420001565	-190.8372628826844
3	d0.8_t0.11_time500000_gamma-0.5	-9.678206043754425	-151.30435499470593
4	d0.72_t0.11_time500000_gamma-0.5	-6.961810057397496	-134.78401295656084
5	d0.82_t0.11_time500000_gamma-0.5	-11.860426008971068	-160.14989223614478
6	d0.78_t0.11_time500000_gamma-0.5	-9.165888660547093	-146.90288413036765
7	d0.74_t0.11_time500000_gamma-0.5	-6.423046093282995	-138.00462735434593
8	d0.84_t0.11_time500000_gamma-0.5	-8.607805540220056	-164.55168539612208
9	d0.88_t0.11_time500000_gamma-0.5	-11.963931407452204	-178.3213306112811
10	d0.7_t0.11_time500000_gamma-0.5	-7.331821448981632	-136.49984947192388
