slice	rho_of_slice	gamma	lambda
0	1.4	-1204.544172	-4277.896546
1	1.4684210526315788	-734.665612	-2757.825571
2	1.5368421052631578	-585.139373	-1128.427291
3	1.6052631578947367	-527.360108	-576.248478
4	1.6736842105263157	-511.364587	-300.600682
5	1.7421052631578946	-517.624855	-149.326484
6	1.8105263157894738	-534.159729	-75.348013
7	1.8789473684210527	-552.676652	-46.956594
8	1.9473684210526316	-569.170931	-29.031332
9	2.015789473684211	-584.721506	5.307557
10	2.0842105263157897	-602.524375	66.666750
11	2.1526315789473687	-626.253176	153.169758
12	2.2210526315789476	-658.030503	257.376282
13	2.2894736842105265	-698.778518	357.744287
14	2.3578947368421055	-743.884340	398.883660
15	2.4263157894736844	-778.594275	325.516697
16	2.4947368421052634	-783.954335	103.436754
17	2.5631578947368423	-738.099447	-238.250441
18	2.6315789473684212	-634.735734	-728.433343
19	2.7	-449.619324	-1104.347550
