nr_slice	rho	gamma	lambda
0	1.5	-475.665623	30.471439
1	1.528205128205128	-481.203975	57.626041
2	1.5564102564102564	-488.916283	96.792037
3	1.5846153846153845	-497.999507	122.587239
4	1.6128205128205129	-507.744697	137.016736
5	1.641025641025641	-517.562894	140.715888
6	1.6692307692307693	-526.810623	131.871677
7	1.6974358974358974	-534.693464	113.733963
8	1.7256410256410257	-540.939574	95.071969
9	1.7538461538461538	-545.751039	81.549747
10	1.7820512820512822	-549.499905	74.700934
11	1.8102564102564103	-552.562443	74.642541
12	1.8384615384615386	-555.321939	81.176283
13	1.8666666666666667	-558.127489	93.826943
14	1.8948717948717948	-561.301443	112.361334
15	1.9230769230769231	-565.156822	136.743522
16	1.9512820512820515	-569.999485	167.430112
17	1.9794871794871796	-576.178636	205.807680
18	2.0076923076923077	-584.136813	253.097107
19	2.0358974358974358	-594.334761	309.425671
20	2.0641025641025643	-607.197667	373.406268
21	2.0923076923076924	-622.993266	438.416196
22	2.1205128205128205	-641.361503	490.142730
23	2.148717948717949	-660.933073	517.277965
24	2.176923076923077	-680.087348	519.397166
25	2.2051282051282053	-697.443859	500.407796
26	2.2333333333333334	-711.866219	467.760910
27	2.2615384615384615	-722.862189	433.533485
28	2.2897435897435896	-730.689020	416.797506
29	2.317948717948718	-737.004813	437.385659
30	2.3461538461538463	-744.220567	507.152406
31	2.3743589743589744	-755.176157	639.855965
32	2.402564102564103	-773.605689	844.642226
33	2.430769230769231	-803.026083	1118.185816
34	2.458974358974359	-846.353815	1461.336286
35	2.4871794871794872	-906.674959	1852.092474
36	2.5153846153846153	-983.742620	2206.767083
37	2.5435897435897434	-1070.655050	2372.765910
38	2.571794871794872	-1149.954080	2139.139199
39	2.6	-1192.179927	1960.456539
