slice	rho_of_slice	gamma	lambda
0	1.3	-1044.333554	711.499643
1	1.335897435897436	-1105.954955	689.175181
2	1.3717948717948718	-1161.566311	606.711211
3	1.4076923076923078	-1208.378949	540.994975
4	1.4435897435897436	-1251.475257	563.171011
5	1.4794871794871796	-1298.350167	660.068073
6	1.5153846153846153	-1352.188109	782.876504
7	1.5512820512820513	-1413.413073	911.188585
8	1.5871794871794873	-1482.209854	1038.371200
9	1.623076923076923	-1557.983220	1145.780394
10	1.658974358974359	-1638.185862	1210.667281
11	1.694871794871795	-1718.938226	1239.792607
12	1.7307692307692308	-1798.691949	1277.928663
13	1.7666666666666668	-1880.014238	1360.554790
14	1.8025641025641028	-1966.393766	1499.865063
15	1.8384615384615386	-2062.042407	1709.474202
16	1.8743589743589744	-2172.244689	1996.000712
17	1.9102564102564104	-2301.934583	2360.543102
18	1.9461538461538463	-2456.285874	2813.823295
19	1.9820512820512821	-2641.443717	3375.331363
20	2.017948717948718	-2864.959843	4062.046511
21	2.053846153846154	-3134.871350	4883.678187
22	2.08974358974359	-3459.462361	5862.478174
23	2.1256410256410256	-3849.178728	7047.060875
24	2.161538461538462	-4318.269850	8472.905157
25	2.1974358974358976	-4880.903305	10041.825545
26	2.2333333333333334	-5535.598544	11111.901165
27	2.269230769230769	-6203.210874	8348.283635
28	2.3051282051282054	-6406.350988	-9173.797191
29	2.341025641025641	-4524.294651	-43609.881187
30	2.3769230769230774	124.229416	-54796.242456
31	2.412820512820513	3321.565377	-28422.167828
32	2.448717948717949	3954.143214	-4464.080039
33	2.4846153846153847	3645.440284	3232.517828
34	2.5205128205128204	3175.021767	4325.238105
35	2.5564102564102567	2726.971810	4079.017109
36	2.5923076923076924	2310.866702	3561.298456
37	2.6282051282051286	1956.586919	2828.668984
38	2.6641025641025644	1662.099041	2231.823870
39	2.7	1406.130395	2035.637421
