slice	rho_of_slice	gamma	lambda
0	1.4	199.637565	448.319121
1	1.4684210526315788	152.559424	1102.851275
2	1.5368421052631578	-88.806969	970.826878
3	1.6052631578947367	-130.670724	99.329598
4	1.6736842105263157	-134.103852	-27.381173
5	1.7421052631578946	-138.257961	-15.055190
6	1.8105263157894738	-142.442028	-21.179104
7	1.8789473684210527	-142.523066	-41.425896
8	1.9473684210526316	-138.859423	-50.239772
9	2.015789473684211	-134.402562	-41.319241
10	2.0842105263157897	-131.251787	-21.463763
11	2.1526315789473687	-130.382701	3.176897
12	2.2210526315789476	-132.025961	28.414797
13	2.2894736842105265	-135.804482	49.304604
14	2.3578947368421055	-140.394018	58.928064
15	2.4263157894736844	-143.395717	61.055400
16	2.4947368421052634	-144.568668	73.543399
17	2.5631578947368423	-146.182625	110.750497
18	2.6315789473684212	-150.933986	173.046979
19	2.7	-159.108269	250.997425
