slice	rho_of_slice	gamma	lambda
0	1.4	641.258874	11618.372413
1	1.4684210526315788	-911.597363	4991.781666
2	1.5368421052631578	-920.375621	-1014.055581
3	1.6052631578947367	-796.805171	-1128.950520
4	1.6736842105263157	-734.357999	-600.857553
5	1.7421052631578946	-730.065155	-151.153392
6	1.8105263157894738	-773.581525	227.511055
7	1.8789473684210527	-859.050424	555.392236
8	1.9473684210526316	-978.339974	788.662153
9	2.015789473684211	-1110.957218	768.736515
10	2.0842105263157897	-1203.561141	-38.908132
11	2.1526315789473687	-1090.208705	-2974.142900
12	2.2210526315789476	-362.451874	-6010.759780
13	2.2894736842105265	544.887475	-4534.648372
14	2.3578947368421055	779.158590	-1046.456710
15	2.4263157894736844	683.577692	305.531176
16	2.4947368421052634	536.254123	424.235972
17	2.5631578947368423	408.308567	241.829208
18	2.6315789473684212	311.888472	54.995868
19	2.7	231.153286	-36.189904
