nr_slice	rho	gamma	lambda
0	1.3	-466.737269	-211.605540
1	1.323076923076923	-458.744464	-222.147932
2	1.3461538461538463	-449.334243	-240.026498
3	1.3692307692307693	-439.281478	-240.820532
4	1.3923076923076925	-429.421757	-224.524147
5	1.4153846153846155	-420.526534	-192.323899
6	1.4384615384615385	-413.315406	-146.163814
7	1.4615384615384617	-408.371669	-90.433537
8	1.4846153846153847	-405.999620	-30.110438
9	1.5076923076923077	-406.313588	30.325815
10	1.5307692307692309	-409.195757	87.576412
11	1.5538461538461539	-414.449373	139.329412
12	1.576923076923077	-421.738170	183.580168
13	1.6	-430.677694	219.575077
14	1.623076923076923	-440.861314	246.955542
15	1.6461538461538463	-451.872339	265.818118
16	1.6692307692307693	-463.315451	275.449677
17	1.6923076923076925	-474.711652	273.960026
18	1.7153846153846155	-485.497164	263.678746
19	1.7384615384615385	-495.416883	250.476053
20	1.7615384615384617	-504.453810	237.677051
21	1.7846153846153847	-512.660938	226.795519
22	1.807692307692308	-520.160797	218.032159
23	1.830769230769231	-527.022979	210.143415
24	1.853846153846154	-533.253974	202.222889
25	1.8769230769230771	-538.839594	193.919355
26	1.9000000000000001	-543.754222	185.130020
27	1.9230769230769234	-547.974794	176.523473
28	1.9461538461538463	-551.538018	169.843621
29	1.9692307692307693	-554.580936	166.894628
30	1.9923076923076923	-557.303087	169.269214
31	2.0153846153846153	-559.982547	178.892204
32	2.0384615384615388	-562.987432	197.927886
33	2.0615384615384618	-566.782500	228.055626
34	2.0846153846153848	-571.872778	270.489295
35	2.1076923076923078	-578.812984	326.776957
36	2.130769230769231	-588.224077	399.102640
37	2.153846153846154	-600.829168	490.352104
38	2.176923076923077	-617.473898	603.906060
39	2.2	-639.141102	676.899249
