nr_slice	rho	gamma	lambda
0	1.3	-720.454580	496.010096
1	1.335897435897436	-767.214916	492.138563
2	1.3717948717948718	-811.540567	471.696611
3	1.4076923076923078	-853.340667	473.746515
4	1.4435897435897436	-895.814431	512.212261
5	1.4794871794871796	-940.915627	572.549968
6	1.5153846153846153	-989.750069	643.928363
7	1.5512820512820513	-1042.686409	715.459480
8	1.5871794871794873	-1099.227273	776.714178
9	1.623076923076923	-1158.206099	828.837720
10	1.658974358974359	-1219.263309	897.685910
11	1.694871794871795	-1284.924234	1006.639871
12	1.7307692307692308	-1358.137583	1162.727053
13	1.7666666666666668	-1442.356682	1374.546879
14	1.8025641025641028	-1541.645064	1647.776535
15	1.8384615384615386	-1660.105239	1990.341700
16	1.8743589743589744	-1802.729691	2419.971971
17	1.9102564102564104	-1975.892611	2956.654491
18	1.9461538461538463	-2187.090755	3628.292827
19	1.9820512820512821	-2446.232483	4494.089577
20	2.017948717948718	-2768.676199	5677.029591
21	2.053846153846154	-3181.042307	7432.172302
22	2.08974358974359	-3733.763375	10256.938167
23	2.1256410256410256	-4522.071001	15045.530331
24	2.161538461538462	-5719.462364	22190.776827
25	2.1974358974358976	-7467.448562	9685.246701
26	2.2333333333333334	-6768.222799	-80296.706210
27	2.269230769230769	4395.111533	-88695.830875
28	2.3051282051282054	5719.183774	-2338.115132
29	2.341025641025641	4386.859712	14103.740931
30	2.3769230769230774	3408.186764	9750.849805
31	2.412820512820513	2745.655161	6529.181446
32	2.448717948717949	2259.539791	4747.176978
33	2.4846153846153847	1874.723419	3690.047935
34	2.5205128205128204	1557.989522	2855.888431
35	2.5564102564102567	1307.893149	2082.551490
36	2.5923076923076924	1113.665470	1475.402435
37	2.6282051282051286	958.708830	1081.139013
38	2.6641025641025644	826.315280	888.826190
39	2.7	702.648470	852.471518
