slice	rho_of_slice	gamma	lambda
0	1.5	-486.556269	132.985714
1	1.528205128205128	-498.872768	168.013376
2	1.5564102564102564	-514.207214	225.334144
3	1.5846153846153845	-532.067635	270.808815
4	1.6128205128205129	-551.593702	298.634115
5	1.641025641025641	-571.615711	303.394398
6	1.6692307692307693	-590.646089	287.158737
7	1.6974358974358974	-607.741702	260.613160
8	1.7256410256410257	-622.624915	230.184526
9	1.7538461538461538	-635.087033	197.570700
10	1.7820512820512822	-645.052178	166.239157
11	1.8102564102564103	-652.712990	142.718837
12	1.8384615384615386	-658.738019	134.476200
13	1.8666666666666667	-664.163334	145.429843
14	1.8948717948717948	-670.090603	175.666038
15	1.9230769230769231	-677.547377	223.431142
16	1.9512820512820515	-687.411226	286.077592
17	1.9794871794871796	-700.378253	360.945477
18	2.0076923076923077	-716.988173	447.041932
19	2.0358974358974358	-737.782784	542.606434
20	2.0641025641025643	-763.053063	636.992262
21	2.0923076923076924	-792.087993	719.569036
22	2.1205128205128205	-823.951659	786.486810
23	2.148717948717949	-857.481895	832.034177
24	2.176923076923077	-891.095193	856.070517
25	2.2051282051282053	-923.634172	872.208978
26	2.2333333333333334	-955.068470	898.841577
27	2.2615384615384615	-986.293383	944.187912
28	2.2897435897435896	-1018.135116	1001.906246
29	2.317948717948718	-1050.687041	1033.447453
30	2.3461538461538463	-1080.357015	976.205239
31	2.3743589743589744	-1100.307603	751.301959
32	2.402564102564103	-1098.438267	294.628985
33	2.430769230769231	-1061.564147	-436.878199
34	2.458974358974359	-973.981110	-1556.427626
35	2.4871794871794872	-811.583237	-3055.581033
36	2.5153846153846153	-562.784038	-4356.008988
37	2.5435897435897434	-271.686833	-4673.157800
38	2.571794871794872	-13.192247	-4115.913641
39	2.6	187.509804	-3832.424035
