nr_slice	rho	gamma	lambda
0	1.4	68.264543	541.603449
1	1.426530612244898	30.670855	295.178770
2	1.4530612244897958	16.370356	-80.916743
3	1.4795918367346939	18.385080	-350.062393
4	1.5061224489795917	33.723015	-576.126912
5	1.5326530612244897	61.609810	-743.093998
6	1.5591836734693878	97.060310	-779.345245
7	1.5857142857142856	131.210040	-669.199645
8	1.6122448979591837	156.851664	-470.431215
9	1.6387755102040815	170.972226	-267.831742
10	1.6653061224489796	175.398772	-124.729443
11	1.6918367346938776	174.097465	-53.979330
12	1.7183673469387755	170.536268	-38.266523
13	1.7448979591836735	167.022256	-55.866942
14	1.7714285714285714	164.801450	-88.617939
15	1.7979591836734694	164.275273	-123.283739
16	1.8244897959183675	165.273734	-153.822673
17	1.8510204081632653	167.532972	-180.030949
18	1.8775510204081634	170.839576	-201.594110
19	1.9040816326530612	174.879136	-215.170676
20	1.9306122448979592	179.069800	-216.912350
21	1.9571428571428573	182.680646	-206.779600
22	1.9836734693877551	185.127345	-187.776591
23	2.010204081632653	186.008991	-162.852967
24	2.036734693877551	185.071451	-134.777507
25	2.063265306122449	182.228130	-107.759162
26	2.089795918367347	177.692022	-88.729489
27	2.1163265306122447	172.125849	-82.730435
28	2.142857142857143	166.273872	-86.253073
29	2.169387755102041	160.408780	-89.507029
30	2.195918367346939	154.225316	-86.186592
31	2.222448979591837	147.337946	-77.447120
32	2.2489795918367346	139.584766	-67.251005
33	2.2755102040816326	131.017385	-58.457950
34	2.3020408163265307	121.785022	-53.646132
35	2.3285714285714287	112.213846	-55.769305
36	2.355102040816327	102.751607	-64.980591
37	2.3816326530612244	93.707921	-78.406447
38	2.408163265306123	85.192345	-93.151870
39	2.4346938775510205	77.182471	-106.031290
40	2.4612244897959186	69.432117	-114.981474
41	2.4877551020408166	61.705190	-121.506273
42	2.5142857142857142	53.923878	-127.799192
43	2.5408163265306127	46.076848	-134.244895
44	2.5673469387755103	38.106704	-139.682982
45	2.5938775510204084	29.858735	-141.402683
46	2.6204081632653065	20.977867	-138.623342
47	2.646938775510204	11.254334	-136.907656
48	2.673469387755102	0.935913	-140.284126
49	2.7	-9.858812	-152.180367
