slice	rho_of_slice	gamma	lambda
0	1.3	-421.700560	82.531821
1	1.335897435897436	-437.075450	68.615689
2	1.3717948717948718	-449.009731	62.929693
3	1.4076923076923078	-462.069486	104.846638
4	1.4435897435897436	-478.588048	165.176736
5	1.4794871794871796	-498.950369	230.257916
6	1.5153846153846153	-523.482232	301.192402
7	1.5512820512820513	-552.680142	375.909569
8	1.5871794871794873	-586.527002	445.423671
9	1.623076923076923	-624.178809	499.221098
10	1.658974358974359	-664.061202	532.149954
11	1.694871794871795	-704.556139	555.184271
12	1.7307692307692308	-745.650333	583.235575
13	1.7666666666666668	-787.857348	622.161890
14	1.8025641025641028	-831.986910	679.203908
15	1.8384615384615386	-879.560618	767.342177
16	1.8743589743589744	-933.195792	899.998785
17	1.9102564102564104	-996.242028	1088.247250
18	1.9461538461538463	-1072.755216	1343.246539
19	1.9820512820512821	-1167.469878	1674.007217
20	2.017948717948718	-1285.437007	2077.990882
21	2.053846153846154	-1430.639514	2483.140814
22	2.08974358974359	-1597.338972	2640.362073
23	2.1256410256410256	-1753.598760	1956.414616
24	2.161538461538462	-1809.512005	-651.082544
25	2.1974358974358976	-1581.908470	-5810.005276
26	2.2333333333333334	-901.151518	-11120.276721
27	2.269230769230769	58.227430	-12187.692884
28	2.3051282051282054	838.779372	-8616.094329
29	2.341025641025641	1233.992801	-3921.234117
30	2.3769230769230774	1307.662406	-581.403538
31	2.412820512820513	1210.004165	897.658463
32	2.448717948717949	1070.482668	1156.098344
33	2.4846153846153847	939.124751	1019.719229
34	2.5205128205128204	822.966785	833.073198
35	2.5564102564102567	721.786951	649.336993
36	2.5923076923076924	634.767799	481.826628
37	2.6282051282051286	559.557279	349.384152
38	2.6641025641025644	492.569024	237.650883
39	2.7	433.637515	175.041434
