nr_slice	rho	gamma	lambda
0	1.3	-274.895571	-110.287797
1	1.335897435897436	-275.308290	-212.414596
2	1.3717948717948718	-259.168280	-61.583194
3	1.4076923076923078	-278.966651	246.269244
4	1.4435897435897436	-306.672199	211.131299
5	1.4794871794871796	-321.150693	163.245376
6	1.5153846153846153	-341.100157	283.892604
7	1.5512820512820513	-372.153945	407.290142
8	1.5871794871794873	-409.217423	468.147070
9	1.623076923076923	-448.303383	520.412919
10	1.658974358974359	-491.946086	622.345710
11	1.694871794871795	-544.538701	784.932383
12	1.7307692307692308	-610.171421	1025.532911
13	1.7666666666666668	-695.639653	1385.308578
14	1.8025641025641028	-810.792298	1930.133501
15	1.8384615384615386	-971.618133	2796.734173
16	1.8743589743589744	-1207.136854	4255.699077
17	1.9102564102564104	-1571.334590	6622.938712
18	1.9461538461538463	-2136.902163	6095.501780
19	1.9820512820512821	-2408.829961	-23036.709491
20	2.017948717948718	1223.316307	-32965.382639
21	2.053846153846154	2290.129275	-3896.416264
22	2.08974358974359	1709.917485	6666.327833
23	2.1256410256410256	1270.241261	4681.783315
24	2.161538461538462	984.500775	3002.983078
25	2.1974358974358976	792.360671	1987.631404
26	2.2333333333333334	656.795199	1367.828552
27	2.269230769230769	556.670190	976.755128
28	2.3051282051282054	479.377134	723.199002
29	2.341025641025641	417.186548	548.591854
30	2.3769230769230774	366.106699	416.740533
31	2.412820512820513	323.679652	316.771952
32	2.448717948717949	287.499359	243.793358
33	2.4846153846153847	255.878713	192.254704
34	2.5205128205128204	227.258634	156.503985
35	2.5564102564102567	200.840678	123.330064
36	2.5923076923076924	176.991092	87.341016
37	2.6282051282051286	155.569338	58.892764
38	2.6641025641025644	135.372053	42.932284
39	2.7	115.630643	34.591978
