nr_slice	rho	gamma	lambda
0	1.3	-352.973586	-530.470606
1	1.323076923076923	-331.645639	-494.405127
2	1.3461538461538463	-313.092406	-432.903657
3	1.3692307692307693	-296.973102	-379.002500
4	1.3923076923076925	-282.996117	-331.673960
5	1.4153846153846155	-270.901848	-290.192672
6	1.4384615384615385	-260.454613	-253.964812
7	1.4615384615384617	-251.440788	-222.473202
8	1.4846153846153847	-243.665276	-195.334923
9	1.5076923076923077	-236.944060	-172.065914
10	1.5307692307692309	-231.122302	-151.906788
11	1.5538461538461539	-226.082707	-134.130511
12	1.576923076923077	-221.734781	-118.228551
13	1.6	-218.005699	-103.793559
14	1.623076923076923	-214.840416	-90.558399
15	1.6461538461538463	-212.188811	-78.474413
16	1.6692307692307693	-209.998645	-67.541157
17	1.6923076923076925	-208.218462	-57.630977
18	1.7153846153846155	-206.806705	-48.543108
19	1.7384615384615385	-205.729461	-40.138103
20	1.7615384615384617	-204.957121	-32.292252
21	1.7846153846153847	-204.466362	-24.848999
22	1.807692307692308	-204.241224	-17.636982
23	1.830769230769231	-204.273365	-10.511326
24	1.853846153846154	-204.559272	-3.362821
25	1.8769230769230771	-205.099693	3.909300
26	1.9000000000000001	-205.899348	11.408634
27	1.9230769230769234	-206.967365	19.251110
28	1.9461538461538463	-208.317814	27.551805
29	1.9692307692307693	-209.968878	36.419803
30	1.9923076923076923	-211.942912	45.929317
31	2.0153846153846153	-214.262924	56.139643
32	2.0384615384615388	-216.954529	67.175360
33	2.0615384615384618	-220.049732	79.079778
34	2.0846153846153848	-223.575218	91.764597
35	2.1076923076923078	-227.551918	105.172198
36	2.130769230769231	-231.998264	119.358718
37	2.153846153846154	-236.937301	134.494594
38	2.176923076923077	-242.399681	150.623887
39	2.2	-248.408316	161.544637
