sim	folder	gamma	lambda
0	d0.9_t0.09_time500000_gamma-0.5	43.0180843063668	-1358.5859301749583
1	d0.9_t0.11_time500000_gamma-0.5	-986.8362306100778	-2003.9432916456894
2	d0.8_t0.11_time500000_gamma-0.5	-538.908403734685	-1519.1999934046219
3	d0.7_t0.13_time500000_gamma-0.5	-636.5317663123765	-1752.8625983285822
4	d0.8_t0.09_time500000_gamma-0.5	452.8902458903402	-878.0777986608309
5	d0.9_t0.13_time500000_gamma-0.5	-1696.705102319697	-2770.1885928712236
6	d0.7_t0.09_time500000_gamma-0.5	572.1488680271736	-579.3097972207725
7	d0.8_t0.13_time500000_gamma-0.5	-1139.108677090792	-2081.585077973335
8	d0.7_t0.11_time500000_gamma-0.5	-58.30068298814405	-1088.8974567825112
