slice	rho_of_slice	gamma	lambda
0	1.4	226.088330	-946.521361
1	1.426530612244898	281.731506	1017.513463
2	1.4530612244897958	130.663310	4518.582145
3	1.4795918367346939	-194.599104	3444.113932
4	1.5061224489795917	-247.103962	106.688602
5	1.5326530612244897	-219.283781	-643.606897
6	1.5591836734693878	-189.983932	-574.508346
7	1.5857142857142856	-167.600520	-440.358624
8	1.6122448979591837	-151.136659	-334.104785
9	1.6387755102040815	-138.991060	-256.196146
10	1.6653061224489796	-130.002325	-198.323216
11	1.6918367346938776	-123.373823	-154.943719
12	1.7183673469387755	-118.481752	-122.688277
13	1.7448979591836735	-114.851963	-98.536777
14	1.7714285714285714	-112.157093	-79.936556
15	1.7979591836734694	-110.177797	-65.178190
16	1.8244897959183675	-108.757119	-53.215332
17	1.8510204081632653	-107.778898	-43.349260
18	1.8775510204081634	-107.154565	-35.153551
19	1.9040816326530612	-106.808861	-28.399670
20	1.9306122448979592	-106.674097	-22.931110
21	1.9571428571428573	-106.688988	-18.647329
22	1.9836734693877551	-106.794487	-15.362139
23	2.010204081632653	-106.947544	-12.745743
24	2.036734693877551	-107.122868	-10.457501
25	2.063265306122449	-107.312379	-8.116479
26	2.089795918367347	-107.529927	-5.412242
27	2.1163265306122447	-107.798648	-2.248417
28	2.142857142857143	-108.140527	1.265671
29	2.169387755102041	-108.564760	4.909338
30	2.195918367346939	-109.067596	8.571950
31	2.222448979591837	-109.644341	12.247914
32	2.2489795918367346	-110.288276	15.907969
33	2.2755102040816326	-110.989064	19.342704
34	2.3020408163265307	-111.715200	22.486577
35	2.3285714285714287	-112.447717	25.743778
36	2.355102040816327	-113.196155	29.675293
37	2.3816326530612244	-113.998038	34.971905
38	2.408163265306123	-114.930929	42.356454
39	2.4346938775510205	-116.100372	52.048920
40	2.4612244897959186	-117.594731	63.677588
41	2.4877551020408166	-119.464878	77.401623
42	2.5142857142857142	-121.798936	93.783671
43	2.5408163265306127	-124.682920	113.542360
44	2.5673469387755103	-128.248915	138.001135
45	2.5938775510204084	-132.676988	167.705926
46	2.6204081632653065	-138.089514	200.863362
47	2.646938775510204	-144.390748	235.524174
48	2.673469387755102	-151.408580	274.294667
49	2.7	-159.219963	313.023196
