nr_slice	rho	gamma	lambda
0	1.3	-340.748286	132.214560
1	1.323076923076923	-364.626688	197.848794
2	1.3461538461538463	-394.115604	304.617319
3	1.3692307692307693	-427.885485	355.620627
4	1.3923076923076925	-462.334437	319.147710
5	1.4153846153846155	-492.807969	206.399088
6	1.4384615384615385	-516.374748	7.180216
7	1.4615384615384617	-527.321934	-403.134666
8	1.4846153846153847	-510.955027	-1224.706197
9	1.5076923076923077	-442.368996	-2612.613309
10	1.5307692307692309	-291.530117	-4299.922074
11	1.5538461538461539	-57.319725	-5197.392991
12	1.576923076923077	188.739034	-4413.262625
13	1.6	361.352402	-2533.523205
14	1.623076923076923	439.730146	-769.576614
15	1.6461538461538463	450.679175	324.495846
16	1.6692307692307693	426.564805	824.987986
17	1.6923076923076925	388.827226	966.295386
18	1.7153846153846155	349.088330	927.805898
19	1.7384615384615385	312.597911	817.707692
20	1.7615384615384617	281.085885	690.589627
21	1.7846153846153847	254.740144	569.048550
22	1.807692307692308	233.146002	462.175534
23	1.830769230769231	215.589914	377.478962
24	1.853846153846154	200.908604	317.473699
25	1.8769230769230771	188.111418	277.718971
26	1.9000000000000001	176.415849	252.805945
27	1.9230769230769234	165.313809	237.676955
28	1.9461538461538463	154.481172	228.644809
29	1.9692307692307693	143.746553	220.654575
30	1.9923076923076923	133.251258	209.502788
31	2.0153846153846153	123.207840	194.572645
32	2.0384615384615388	113.807401	176.717490
33	2.0615384615384618	105.174462	157.309149
34	2.0846153846153848	97.363677	137.413121
35	2.1076923076923078	90.391881	118.153803
36	2.130769230769231	84.200977	100.451288
37	2.153846153846154	78.716558	84.452851
38	2.176923076923077	73.862022	69.995331
39	2.2	69.574021	62.344750
