slice	rho_of_slice	gamma	lambda
0	1.3	-745.059732	-28.854445
1	1.323076923076923	-743.505426	-19.341527
2	1.3461538461538463	-742.162329	-4.165973
3	1.3692307692307693	-741.362559	17.971438
4	1.3923076923076925	-741.431731	49.100949
5	1.4153846153846155	-742.882648	86.658356
6	1.4384615384615385	-745.794697	114.680453
7	1.4615384615384617	-749.200778	121.824411
8	1.4846153846153847	-752.139608	120.821641
9	1.5076923076923077	-754.829372	130.354971
10	1.5307692307692309	-758.030600	153.956042
11	1.5538461538461539	-762.276131	183.538625
12	1.576923076923077	-767.569704	207.749357
13	1.6	-773.392181	222.062896
14	1.623076923076923	-779.333803	228.808003
15	1.6461538461538463	-785.094538	230.492246
16	1.6692307692307693	-790.499632	229.960318
17	1.6923076923076925	-795.513821	230.702586
18	1.7153846153846155	-800.284612	236.002476
19	1.7384615384615385	-805.076353	246.873436
20	1.7615384615384617	-810.123730	262.059184
21	1.7846153846153847	-815.568466	279.756457
22	1.807692307692308	-821.473422	298.353711
23	1.830769230769231	-827.827569	316.325762
24	1.853846153846154	-834.550564	331.540843
25	1.8769230769230771	-841.433961	340.434272
26	1.9000000000000001	-848.071369	339.686695
27	1.9230769230769234	-853.957064	327.652764
28	1.9461538461538463	-858.546165	304.659642
29	1.9692307692307693	-861.379559	273.262131
30	1.9923076923076923	-862.164164	237.028738
31	2.0153846153846153	-860.782959	200.702034
32	2.0384615384615388	-857.388941	170.385538
33	2.0615384615384618	-852.428245	151.641841
34	2.0846153846153848	-846.556143	148.098974
35	2.1076923076923078	-840.532738	161.141674
36	2.130769230769231	-835.112952	190.851574
37	2.153846153846154	-831.032490	236.754923
38	2.176923076923077	-828.967033	297.475269
39	2.2	-829.487275	338.099801
