slice	rho_of_slice	gamma	lambda
0	1.8	-781.739051	463.798160
1	1.8315789473684212	-807.859671	493.823904
2	1.8631578947368421	-835.783327	545.520440
3	1.8947368421052633	-866.290478	612.370501
4	1.9263157894736842	-900.324152	697.682992
5	1.9578947368421054	-939.033637	806.784896
6	1.9894736842105263	-983.969564	947.478679
7	2.0210526315789474	-1037.176298	1128.214931
8	2.0526315789473686	-1101.147505	1357.059714
9	2.0842105263157893	-1178.781937	1635.808487
10	2.1157894736842104	-1272.588176	1941.140956
11	2.1473684210526316	-1382.280834	2230.526643
12	2.1789473684210527	-1504.830884	2458.476587
13	2.2105263157894735	-1634.146581	2554.829124
14	2.2421052631578946	-1758.435431	2396.089688
15	2.2736842105263158	-1856.444277	1818.217688
16	2.305263157894737	-1896.739164	646.458407
17	2.336842105263158	-1837.939786	-1331.200905
18	2.3684210526315788	-1624.876384	-4330.167697
19	2.4	-1193.648575	-6237.608136
