slice	rho_of_slice	gamma	lambda
0	1.3	-2515.233394	2077.654646
1	1.335897435897436	-2671.444459	2136.063970
2	1.3717948717948718	-2828.960308	2148.188573
3	1.4076923076923078	-2979.472766	2038.947074
4	1.4435897435897436	-3113.564853	1870.450222
5	1.4794871794871796	-3232.002306	1819.545521
6	1.5153846153846153	-3350.869776	1965.455007
7	1.5512820512820513	-3482.164271	2206.048483
8	1.5871794871794873	-3627.080508	2450.261747
9	1.623076923076923	-3784.417531	2668.367315
10	1.658974358974359	-3951.022487	2815.912568
11	1.694871794871795	-4119.289797	2854.861131
12	1.7307692307692308	-4280.718626	2860.565013
13	1.7666666666666668	-4438.716928	2959.545301
14	1.8025641025641028	-4602.875387	3198.223103
15	1.8384615384615386	-4782.975846	3577.520802
16	1.8743589743589744	-4988.364474	4069.506188
17	1.9102564102564104	-5224.372916	4637.373158
18	1.9461538461538463	-5494.688352	5268.890478
19	1.9820512820512821	-5802.520634	5948.911519
20	2.017948717948718	-6148.991930	6685.637148
21	2.053846153846154	-6538.140472	7545.327142
22	2.08974358974359	-6980.094310	8615.197442
23	2.1256410256410256	-7490.568670	10001.649838
24	2.161538461538462	-8093.730471	11888.600021
25	2.1974358974358976	-8829.846115	14570.963533
26	2.2333333333333334	-9762.430116	18424.845241
27	2.269230769230769	-10980.970164	23735.550880
28	2.3051282051282054	-12582.811301	30005.236343
29	2.341025641025641	-14576.973491	33908.281614
30	2.3769230769230774	-16577.983128	21790.308994
31	2.412820512820513	-16653.582512	-40699.579171
32	2.448717948717949	-9615.920680	-138575.059306
33	2.4846153846153847	3917.755577	-140914.214314
34	2.5205128205128204	10288.533535	-48586.702394
35	2.5564102564102567	10019.115698	7334.741179
36	2.5923076923076924	8322.786133	17217.796186
37	2.6282051282051286	6726.709782	15060.213768
38	2.6641025641025644	5437.489778	11789.951667
39	2.7	4391.091908	10554.245755
