nr_slice	rho	gamma	lambda
0	1.8	-527.053558	522.193278
1	1.8315789473684212	-560.568153	581.109332
2	1.8631578947368421	-599.772959	691.066986
3	1.8947368421052633	-645.163841	806.771346
4	1.9263157894736842	-696.639223	917.651183
5	1.9578947368421054	-753.287086	1006.212507
6	1.9894736842105263	-812.733293	1036.612743
7	2.0210526315789474	-869.511033	939.678486
8	2.0526315789473686	-912.580273	586.867219
9	2.0842105263157893	-920.532865	-346.172163
10	2.1157894736842104	-842.138419	-2410.668322
11	2.1473684210526316	-588.537772	-5414.097583
12	2.1789473684210527	-137.372524	-7384.528866
13	2.2105263157894735	347.811452	-6663.355946
14	2.2421052631578946	684.853936	-4257.373697
15	2.2736842105263158	846.215005	-1995.130011
16	2.305263157894737	884.178246	-464.702826
17	2.336842105263158	844.699955	443.106065
18	2.3684210526315788	765.043723	866.228120
19	2.4	672.296050	984.809992
