nr_slice	rho	gamma	lambda
0	1.8	-650.161854	131.313888
1	1.8315789473684212	-657.366043	135.602904
2	1.8631578947368421	-663.483179	143.804809
3	1.8947368421052633	-670.059377	176.199115
4	1.9263157894736842	-678.543079	230.494865
5	1.9578947368421054	-690.150593	303.050951
6	1.9894736842105263	-705.818572	390.480490
7	2.0210526315789474	-726.274928	491.861148
8	2.0526315789473686	-752.270579	599.053288
9	2.0842105263157893	-783.421463	696.566962
10	2.1157894736842104	-818.460685	775.620378
11	2.1473684210526316	-855.864072	829.263325
12	2.1789473684210527	-893.475503	856.823018
13	2.2105263157894735	-929.713914	876.681175
14	2.2421052631578946	-964.770108	911.301289
15	2.2736842105263158	-999.853052	969.257182
16	2.305263157894737	-1036.120906	1023.461818
17	2.336842105263158	-1071.213207	1003.669483
18	2.3684210526315788	-1097.449441	806.672045
19	2.4	-1099.866589	672.628032
