nr_slice	rho	gamma	lambda
0	1.4	-166.983648	15744.340044
1	1.426530612244898	-1018.574693	7914.212172
2	1.4530612244897958	-1088.430442	-987.909794
3	1.4795918367346939	-992.941271	-2425.795212
4	1.5061224489795917	-899.637409	-2106.348631
5	1.5326530612244897	-828.988872	-1635.473248
6	1.5591836734693878	-778.704749	-1243.096119
7	1.5857142857142856	-744.353734	-940.266704
8	1.6122448979591837	-722.001613	-714.532545
9	1.6387755102040815	-708.190610	-553.638699
10	1.6653061224489796	-700.032636	-442.915675
11	1.6918367346938776	-695.447329	-367.117955
12	1.7183673469387755	-693.047328	-312.217757
13	1.7448979591836735	-692.167068	-267.183171
14	1.7714285714285714	-692.546862	-226.366915
15	1.7979591836734694	-694.092760	-187.142122
16	1.8244897959183675	-696.802370	-147.672572
17	1.8510204081632653	-700.758278	-106.259170
18	1.8775510204081634	-706.121847	-62.093819
19	1.9040816326530612	-713.044957	-14.442778
20	1.9306122448979592	-721.749371	38.283277
21	1.9571428571428573	-732.537043	96.564324
22	1.9836734693877551	-745.659811	158.774289
23	2.010204081632653	-761.223626	220.797411
24	2.036734693877551	-779.018533	277.237498
25	2.063265306122449	-798.554930	323.088560
26	2.089795918367347	-819.074077	354.253197
27	2.1163265306122447	-839.642222	368.439234
28	2.142857142857143	-859.257431	361.628495
29	2.169387755102041	-876.569375	326.773014
30	2.195918367346939	-889.856553	255.966614
31	2.222448979591837	-896.981639	142.306376
32	2.2489795918367346	-895.573894	-19.164974
33	2.2755102040816326	-883.085913	-234.397157
34	2.3020408163265307	-856.667566	-508.688370
35	2.3285714285714287	-813.410365	-848.668838
36	2.355102040816327	-750.012128	-1257.989002
37	2.3816326530612244	-663.502706	-1704.990290
38	2.408163265306123	-554.321915	-2113.545457
39	2.4346938775510205	-427.862234	-2395.103389
40	2.4612244897959186	-293.999876	-2488.050544
41	2.4877551020408166	-164.383580	-2382.894016
42	2.5142857142857142	-49.355422	-2124.281814
43	2.5408163265306127	44.829981	-1776.531488
44	2.5673469387755103	115.216481	-1393.580941
45	2.5938775510204084	161.726179	-1041.247153
46	2.6204081632653065	188.696773	-782.870454
47	2.646938775510204	202.697743	-638.619135
48	2.673469387755102	209.802755	-592.731947
49	2.7	214.358101	-617.478003
