nr_slice	rho	gamma	lambda
0	1.4	-19.450334	-85.467333
1	1.426530612244898	-17.355306	-70.922647
2	1.4530612244897958	-16.187983	-53.561624
3	1.4795918367346939	-15.497532	-43.271642
4	1.5061224489795917	-15.084480	-35.848149
5	1.5326530612244897	-14.908228	-29.100093
6	1.5591836734693878	-14.986310	-22.616179
7	1.5857142857142856	-15.312981	-16.506819
8	1.6122448979591837	-15.885124	-10.933777
9	1.6387755102040815	-16.672408	-7.203280
10	1.6653061224489796	-17.525950	-6.773881
11	1.6918367346938776	-18.251689	-9.886830
12	1.7183673469387755	-18.668574	-16.100725
13	1.7448979591836735	-18.626787	-24.936087
14	1.7714285714285714	-17.997044	-35.204501
15	1.7979591836734694	-16.758963	-43.443784
16	1.8244897959183675	-15.156565	-45.607180
17	1.8510204081632653	-13.604990	-41.106160
18	1.8775510204081634	-12.412453	-32.496354
19	1.9040816326530612	-11.719431	-23.119670
20	1.9306122448979592	-11.473244	-15.724287
21	1.9571428571428573	-11.517110	-11.601959
22	1.9836734693877551	-11.658511	-10.670429
23	2.010204081632653	-11.750176	-11.449980
24	2.036734693877551	-11.759554	-12.016959
25	2.063265306122449	-11.745342	-11.083556
26	2.089795918367347	-11.810712	-8.804872
27	2.1163265306122447	-11.994019	-6.836794
28	2.142857142857143	-12.219603	-6.718600
29	2.169387755102041	-12.364454	-8.846322
30	2.195918367346939	-12.317419	-12.399574
31	2.222448979591837	-12.051270	-15.462399
32	2.2489795918367346	-11.663386	-16.698337
33	2.2755102040816326	-11.263931	-17.591990
34	2.3020408163265307	-10.784778	-21.432145
35	2.3285714285714287	-9.993465	-26.158501
36	2.355102040816327	-9.070154	-24.056787
37	2.3816326530612244	-8.594496	-12.933944
38	2.408163265306123	-8.911908	0.456243
39	2.4346938775510205	-9.818833	-8.002175
40	2.4612244897959186	-9.096049	-51.220091
41	2.4877551020408166	-5.543785	-49.277943
42	2.5142857142857142	-5.776136	-14.721723
43	2.5408163265306127	-5.961461	-14.795688
44	2.5673469387755103	-6.292078	-3.940010
45	2.5938775510204084	-7.730441	-18.559623
46	2.6204081632653065	-6.276807	-26.041221
47	2.646938775510204	-7.771208	-7.278638
48	2.673469387755102	-8.150916	-52.393583
49	2.7	-5.273076	-111.113776
