slice	rho_of_slice	gamma	lambda
0	1.3	-503.449727	-187.928226
1	1.335897435897436	-500.407963	-218.246903
2	1.3717948717948718	-490.585583	-249.675760
3	1.4076923076923078	-480.682717	-211.094580
4	1.4435897435897436	-474.301743	-135.046227
5	1.4794871794871796	-473.484947	-45.354767
6	1.5153846153846153	-478.366952	33.457950
7	1.5512820512820513	-487.389478	89.291549
8	1.5871794871794873	-498.868043	123.167203
9	1.623076923076923	-511.333863	138.541537
10	1.658974358974359	-523.565893	135.159936
11	1.694871794871795	-534.045580	115.485966
12	1.7307692307692308	-541.910976	92.775220
13	1.7666666666666668	-547.564659	78.284590
14	1.8025641025641028	-551.773121	74.678593
15	1.8384615384615386	-555.321939	81.782910
16	1.8743589743589744	-558.943012	98.879678
17	1.9102564102564104	-563.300514	125.493264
18	1.9461538461538463	-569.031433	162.023103
19	1.9820512820512821	-576.821638	210.572991
20	2.017948717948718	-587.562263	273.355235
21	2.053846153846154	-602.189125	349.875067
22	2.08974358974359	-621.436153	431.339293
23	2.1256410256410256	-644.877928	494.058482
24	2.161538461538462	-669.778206	518.609891
25	2.1974358974358976	-692.961986	505.490611
26	2.2333333333333334	-711.866219	467.408951
27	2.269230769230769	-725.262051	428.740945
28	2.3051282051282054	-734.175171	427.002161
29	2.341025641025641	-742.723578	495.941014
30	2.3769230769230774	-756.479812	662.522112
31	2.412820512820513	-782.895276	941.654571
32	2.448717948717949	-828.775055	1333.853526
33	2.4846153846153847	-900.447940	1811.359445
34	2.5205128205128204	-999.137305	2232.675219
35	2.5564102564102567	-1109.327351	2273.803096
36	2.5923076923076924	-1185.951631	1610.017921
37	2.6282051282051286	-1171.898069	231.185449
38	2.6641025641025644	-1030.575429	-1792.855912
39	2.7	-726.384805	-3197.154873
