slice	rho_of_slice	gamma	lambda
0	1.4	929.485638	2432.352195
1	1.426530612244898	838.698394	5014.906835
2	1.4530612244897958	453.921347	8637.477416
3	1.4795918367346939	-67.709419	6685.363194
4	1.5061224489795917	-294.142121	2139.026697
5	1.5326530612244897	-348.144978	228.993074
6	1.5591836734693878	-371.160080	-12.125433
7	1.5857142857142856	-396.647329	95.883695
8	1.6122448979591837	-428.482022	207.880596
9	1.6387755102040815	-463.608626	200.597109
10	1.6653061224489796	-492.559230	39.656079
11	1.6918367346938776	-508.238589	-127.405686
12	1.7183673469387755	-516.688083	-178.699234
13	1.7448979591836735	-524.023952	-154.649603
14	1.7714285714285714	-532.160174	-163.020586
15	1.7979591836734694	-535.783464	-471.376034
16	1.8244897959183675	-508.357070	-1369.753920
17	1.8510204081632653	-413.757064	-2255.273595
18	1.8775510204081634	-289.882046	-2126.515351
19	1.9040816326530612	-207.561854	-1206.633197
20	1.9306122448979592	-180.662968	-241.866063
21	1.9571428571428573	-200.033391	422.215442
22	1.9836734693877551	-242.275771	478.919959
23	2.010204081632653	-265.606860	-23.484908
24	2.036734693877551	-252.637300	-454.423021
25	2.063265306122449	-229.356249	-398.877394
26	2.089795918367347	-221.939568	-31.895660
27	2.1163265306122447	-236.805533	327.540530
28	2.142857142857143	-265.690468	288.261092
29	2.169387755102041	-273.541560	-461.640882
30	2.195918367346939	-220.898417	-1055.710395
31	2.222448979591837	-167.812557	-661.773169
32	2.2489795918367346	-159.838301	156.281496
33	2.2755102040816326	-193.409520	522.319154
34	2.3020408163265307	-220.379382	-140.448777
35	2.3285714285714287	-179.743813	-856.999073
36	2.355102040816327	-133.785452	-650.907081
37	2.3816326530612244	-119.589495	-85.890825
38	2.408163265306123	-134.929430	39.040326
39	2.4346938775510205	-131.332938	-269.188484
40	2.4612244897959186	-113.787943	-294.736462
41	2.4877551020408166	-109.852643	-112.204594
42	2.5142857142857142	-112.068329	-149.976957
43	2.5408163265306127	-103.379020	-379.706217
44	2.5673469387755103	-83.097505	123.199474
45	2.5938775510204084	-133.604485	102.935112
46	2.6204081632653065	-96.281952	-394.153982
47	2.646938775510204	-106.970308	-202.941493
48	2.673469387755102	-87.612178	-371.871185
49	2.7	-93.305182	-170.407190
