nr_simulation	folder	gamma	lambda
0	d0.76_t0.11_time500000_gamma-0.5	-4.388804	-18.325151
1	d0.86_t0.11_time500000_gamma-0.5	-5.625428	-25.382370
2	d0.9_t0.11_time500000_gamma-0.5	-6.524650	-28.379809
3	d0.8_t0.11_time500000_gamma-0.5	-4.547696	-20.828833
4	d0.72_t0.11_time500000_gamma-0.5	-3.523497	-16.211423
5	d0.82_t0.11_time500000_gamma-0.5	-5.036696	-22.438574
6	d0.78_t0.11_time500000_gamma-0.5	-4.301649	-19.626122
7	d0.74_t0.11_time500000_gamma-0.5	-3.566499	-17.334922
8	d0.84_t0.11_time500000_gamma-0.5	-4.562793	-23.593266
9	d0.88_t0.11_time500000_gamma-0.5	-5.298954	-26.250556
10	d0.7_t0.11_time500000_gamma-0.5	-3.552259	-15.781949
