slice	rho_of_slice	gamma	lambda
0	1.5	-321.494653	181.246114
1	1.528205128205128	-336.574424	182.254744
2	1.5564102564102564	-351.198465	185.402259
3	1.5846153846153845	-366.006089	201.767929
4	1.6128205128205129	-381.803871	235.098103
5	1.641025641025641	-399.661047	286.466539
6	1.6692307692307693	-420.507072	352.292473
7	1.6974358974358974	-444.997103	431.339579
8	1.7256410256410257	-473.900450	526.668901
9	1.7538461538461538	-508.191091	641.733479
10	1.7820512820512822	-548.994048	779.045883
11	1.8102564102564103	-597.522884	943.072413
12	1.8384615384615386	-655.350795	1141.114216
13	1.8666666666666667	-724.444030	1378.105280
14	1.8948717948717948	-806.840586	1645.626274
15	1.9230769230769231	-903.441604	1894.080473
16	1.9512820512820515	-1010.564729	1943.995886
17	1.9794871794871796	-1108.796518	1218.650142
18	2.0076923076923077	-1129.646344	-1754.960662
19	2.0358974358974358	-889.019726	-8516.819210
20	2.0641025641025643	-149.721467	-14837.638470
21	2.0923076923076924	786.611190	-12389.527795
22	2.1205128205128205	1222.179123	-4129.228915
23	2.148717948717949	1209.825537	1020.331892
24	2.176923076923077	1060.937857	2271.450882
25	2.2051282051282053	909.226684	2094.981186
26	2.2333333333333334	782.997904	1665.460330
27	2.2615384615384615	682.221747	1281.727160
28	2.2897435897435896	601.263386	995.875132
29	2.317948717948718	534.272720	794.986711
30	2.3461538461538463	477.210436	651.200481
31	2.3743589743589744	427.476084	539.416844
32	2.402564102564103	383.931109	439.130166
33	2.430769230769231	346.291578	347.851990
34	2.458974358974359	313.650036	269.379398
35	2.4871794871794872	285.293381	200.937867
36	2.5153846153846153	260.620224	145.223965
37	2.5435897435897434	238.602150	106.523296
38	2.571794871794872	218.193568	83.381187
39	2.6	198.593053	74.229315
