nr_slice	rho	gamma	lambda
0	1.8	-628.612757	482.217296
1	1.8315789473684212	-658.774611	543.159913
2	1.8631578947368421	-694.724489	661.008650
3	1.8947368421052633	-737.620632	801.449445
4	1.9263157894736842	-788.840140	965.330755
5	1.9578947368421054	-849.551215	1138.374872
6	1.9894736842105263	-919.212760	1289.707967
7	2.0210526315789474	-994.995508	1380.430257
8	2.0526315789473686	-1071.402589	1380.392121
9	2.0842105263157893	-1141.855390	1312.722559
10	2.1157894736842104	-1203.933644	1249.517331
11	2.1473684210526316	-1260.255389	1254.120196
12	2.1789473684210527	-1316.326644	1353.954605
13	2.2105263157894735	-1377.987583	1549.488959
14	2.2421052631578946	-1450.446312	1747.140653
15	2.2736842105263158	-1527.273709	1176.270646
16	2.305263157894737	-1516.408731	-2376.468154
17	2.336842105263158	-1137.286900	-10406.980386
18	2.3684210526315788	-129.120715	-16626.693945
19	2.4	968.250615	-18028.177489
