nr_slice	rho	gamma	lambda
0	1.8	-278.546988	-592.363465
1	1.8315789473684212	-242.147852	-883.041318
2	1.8631578947368421	-167.705522	-1637.819214
3	1.8947368421052633	-34.996312	-2282.818333
4	1.9263157894736842	120.894528	-2037.385052
5	1.9578947368421054	221.053833	-1117.482304
6	1.9894736842105263	258.496297	-360.287385
7	2.0210526315789474	261.024037	29.086437
8	2.0526315789473686	247.809745	164.918758
9	2.0842105263157893	232.163592	170.620116
10	2.1157894736842104	217.426569	213.345080
11	2.1473684210526316	195.696454	320.823977
12	2.1789473684210527	167.161512	367.354249
13	2.2105263157894735	139.882937	305.860791
14	2.2421052631578946	119.629942	195.982659
15	2.2736842105263158	106.537058	104.308343
16	2.305263157894737	97.840207	54.812122
17	2.336842105263158	90.744234	41.424332
18	2.3684210526315788	83.418755	50.137546
19	2.4	74.990073	58.559850
