nr_slice	rho	gamma	lambda
0	1.4	929.485638	6579.756320
1	1.4684210526315788	127.810602	4478.207063
2	1.5368421052631578	-352.207170	1507.317225
3	1.6052631578947367	-419.524377	107.778221
4	1.6736842105263157	-498.951552	5.892373
5	1.7421052631578946	-523.220564	-192.515627
6	1.8105263157894738	-529.261790	-1107.635932
7	1.8789473684210527	-284.161843	-1428.209507
8	1.9473684210526316	-188.494118	-232.397628
9	2.015789473684211	-265.419643	2.223133
10	2.0842105263157897	-221.547799	-72.284694
11	2.1526315789473687	-274.210972	-238.164885
12	2.2210526315789476	-169.560944	-302.759280
13	2.2894736842105265	-214.764443	-165.241400
14	2.3578947368421055	-130.642558	-357.112078
15	2.4263157894736844	-140.883765	-128.740213
16	2.4947368421052634	-111.321336	-294.821445
17	2.5631578947368423	-85.504858	-200.832216
18	2.6315789473684212	-98.480628	-113.689281
19	2.7	-93.305182	-315.518993
