sim	folder	gamma	lambda
0	d0.9_t0.09_time500000_gamma-0.5	5.780536187033417	-26.84731872413489
1	d0.9_t0.11_time500000_gamma-0.5	7.987502139628781	-28.80165989928247
2	d0.8_t0.11_time500000_gamma-0.5	5.907511743088907	-21.227512278960113
3	d0.7_t0.13_time500000_gamma-0.5	5.2355947053439	-17.07950966767211
4	d0.8_t0.09_time500000_gamma-0.5	2.981612667820709	-21.61095425949011
5	d0.9_t0.13_time500000_gamma-0.5	11.02643976297616	-28.705213913004002
6	d0.7_t0.09_time500000_gamma-0.5	2.1220569297892578	-15.511413055197112
7	d0.8_t0.13_time500000_gamma-0.5	8.060731540484873	-22.225429256416483
8	d0.7_t0.11_time500000_gamma-0.5	4.126747235023148	-16.286790439914114
