nr_slice	rho	gamma	lambda
0	1.4	129.740134	-406.952768
1	1.4684210526315788	196.243996	-339.841500
2	1.5368421052631578	250.120534	568.227646
3	1.6052631578947367	68.272582	1261.063791
4	1.6736842105263157	-94.061869	729.210067
5	1.7421052631578946	-144.677806	231.953354
6	1.8105263157894738	-171.426482	149.251177
7	1.8789473684210527	-197.261444	155.450059
8	1.9473684210526316	-222.768058	143.548493
9	2.015789473684211	-241.603018	101.097266
10	2.0842105263157897	-250.975489	64.627550
11	2.1526315789473687	-254.857248	30.753777
12	2.2210526315789476	-249.631026	-82.967687
13	2.2894736842105265	-217.101912	-355.546934
14	2.3578947368421055	-134.460535	-716.466078
15	2.4263157894736844	-8.402629	-831.066117
16	2.4947368421052634	87.371019	-587.898837
17	2.5631578947368423	124.068470	-370.509733
18	2.6315789473684212	141.725020	-306.442137
19	2.7	138.909603	-323.804163
