nr_slice	rho	gamma	lambda
0	1.4	-1204.544172	-5608.871152
1	1.426530612244898	-951.723221	-4507.709231
2	1.4530612244897958	-795.823639	-2923.048934
3	1.4795918367346939	-698.945735	-1984.133042
4	1.5061224489795917	-634.801467	-1434.240903
5	1.5326530612244897	-590.761189	-1081.890313
6	1.5591836734693878	-559.911037	-838.943068
7	1.5857142857142856	-538.462166	-658.146741
8	1.6122448979591837	-524.223719	-515.842923
9	1.6387755102040815	-515.738055	-401.404070
10	1.6653061224489796	-511.820309	-309.845472
11	1.6918367346938776	-511.451805	-237.282829
12	1.7183673469387755	-513.792365	-180.050954
13	1.7448979591836735	-518.162785	-135.300702
14	1.7714285714285714	-523.989323	-101.213575
15	1.7979591836734694	-530.759529	-76.632666
16	1.8244897959183675	-538.003506	-60.702353
17	1.8510204081632653	-545.286282	-51.658739
18	1.8775510204081634	-552.316364	-46.381853
19	1.9040816326530612	-558.984924	-41.926964
20	1.9306122448979592	-565.309950	-36.300949
21	1.9571428571428573	-571.391474	-28.305620
22	1.9836734693877551	-577.371456	-17.232930
23	2.010204081632653	-583.420746	-2.380493
24	2.036734693877551	-589.750024	17.008556
25	2.063265306122449	-596.602563	41.088632
26	2.089795918367347	-604.194970	69.713393
27	2.1163265306122447	-612.742354	102.464125
28	2.142857142857143	-622.401401	138.094137
29	2.169387755102041	-633.238560	175.956168
30	2.195918367346939	-645.326206	216.620313
31	2.222448979591837	-658.774261	260.311548
32	2.2489795918367346	-673.659238	304.822167
33	2.2755102040816326	-689.834626	346.944449
34	2.3020408163265307	-707.019752	383.630562
35	2.3285714285714287	-724.732182	409.546803
36	2.355102040816327	-742.120840	418.007262
37	2.3816326530612244	-758.006475	407.083824
38	2.408163265306123	-771.367117	378.975381
39	2.4346938775510205	-781.294274	331.521652
40	2.4612244897959186	-786.577256	256.522816
41	2.4877551020408166	-785.503501	149.980125
42	2.5142857142857142	-776.549850	20.673763
43	2.5408163265306127	-759.070114	-113.481573
44	2.5673469387755103	-733.558179	-248.407113
45	2.5938775510204084	-699.863582	-404.516698
46	2.6204081632653065	-656.439981	-602.112004
47	2.646938775510204	-601.270429	-844.217891
48	2.673469387755102	-532.914436	-1133.117042
49	2.7	-449.619324	-1321.366271
