slice	rho_of_slice	gamma	lambda
0	1.4	86.253422	-35.650249
1	1.4684210526315788	98.032802	-43.337459
2	1.5368421052631578	109.981974	-36.260448
3	1.6052631578947367	117.925091	3.347870
4	1.6736842105263157	116.606219	88.313629
5	1.7421052631578946	98.185421	187.956173
6	1.8105263157894738	65.909960	213.041415
7	1.8789473684210527	37.448030	155.037094
8	1.9473684210526316	19.334758	90.530509
9	2.015789473684211	7.894558	43.385418
10	2.0842105263157897	2.564371	-16.067776
11	2.1526315789473687	7.405166	-111.072608
12	2.2210526315789476	27.530161	-205.333075
13	2.2894736842105265	55.780465	-212.478098
14	2.3578947368421055	73.052975	-149.035033
15	2.4263157894736844	78.549887	-116.157116
16	2.4947368421052634	81.615489	-118.701862
17	2.5631578947368423	81.262145	-112.975184
18	2.6315789473684212	74.648057	-99.591099
19	2.7	61.421357	-113.356978
