nr_slice	rho	gamma	lambda
0	1.5	-222.246390	226.930418
1	1.528205128205128	-239.343075	283.619027
2	1.5564102564102564	-262.634079	361.253526
3	1.5846153846153845	-288.370946	375.044246
4	1.6128205128205129	-313.022626	371.141852
5	1.641025641025641	-337.953951	404.463230
6	1.6692307692307693	-365.873690	482.668639
7	1.6974358974358974	-399.052496	606.014656
8	1.7256410256410257	-440.228410	789.457609
9	1.7538461538461538	-493.336853	1056.058704
10	1.7820512820512822	-563.670226	1441.751711
11	1.8102564102564103	-659.128437	2003.146046
12	1.8384615384615386	-791.238623	2771.791703
13	1.8666666666666667	-971.202226	3352.310944
14	1.8948717948717948	-1165.535627	506.987621
15	1.9230769230769231	-1019.960943	-12012.966060
16	1.9512820512820515	200.234576	-18030.996778
17	1.9794871794871796	1010.570208	-7246.506301
18	2.0076923076923077	999.160147	1278.904514
19	2.0358974358974358	844.496666	2391.473919
20	2.0641025641025643	707.877072	1966.108149
21	2.0923076923076924	601.999583	1496.059689
22	2.1205128205128205	519.133573	1159.526222
23	2.148717948717949	451.835581	919.680444
24	2.176923076923077	396.582937	732.405031
25	2.2051282051282053	350.901212	583.924891
26	2.2333333333333334	312.812516	465.923767
27	2.2615384615384615	280.779194	371.682697
28	2.2897435897435896	253.582115	296.331987
29	2.317948717948718	230.236274	236.943131
30	2.3461538461538463	209.858690	190.799919
31	2.3743589743589744	191.784117	151.609529
32	2.402564102564103	175.850438	114.422998
33	2.430769230769231	161.932194	82.388155
34	2.458974358974359	149.490285	58.524006
35	2.4871794871794872	138.074512	40.682572
36	2.5153846153846153	127.405898	27.721382
37	2.5435897435897434	117.171480	19.406133
38	2.571794871794872	107.137088	11.763872
39	2.6	97.454637	5.544148
