slice	rho_of_slice	gamma	lambda
0	1.4	546.128901	2105.597031
1	1.4684210526315788	293.615813	1311.147931
2	1.5368421052631578	190.606967	405.827687
3	1.6052631578947367	163.699701	60.225881
4	1.6736842105263157	149.214505	74.713051
5	1.7421052631578946	114.939024	-231.201952
6	1.8105263157894738	180.208380	-1225.083667
7	1.8789473684210527	419.116995	-2233.063080
8	1.9473684210526316	761.207263	-2138.047546
9	2.015789473684211	964.099692	-918.703453
10	2.0842105263157897	950.903982	120.037599
11	2.1526315789473687	848.435048	506.940181
12	2.2210526315789476	713.694301	634.703951
13	2.2894736842105265	566.639435	596.952544
14	2.3578947368421055	438.854530	420.035370
15	2.4263157894736844	339.777327	237.508534
16	2.4947368421052634	261.408799	106.790867
17	2.5631578947368423	196.721765	17.502141
18	2.6315789473684212	140.183716	-51.445458
19	2.7	90.099096	-105.642312
