slice	rho_of_slice	gamma	lambda
0	1.8	-578.890473	967.358470
1	1.8315789473684212	-640.282160	1090.816562
2	1.8631578947368421	-715.162057	1347.938995
3	1.8947368421052633	-806.412290	1643.876993
4	1.9263157894736842	-915.365761	1907.625787
5	1.9578947368421054	-1035.741308	1842.441657
6	1.9894736842105263	-1131.308563	409.969615
7	2.0210526315789474	-1065.271955	-4704.196586
8	2.0526315789473686	-512.724628	-12673.488099
9	2.0842105263157893	547.711548	-13644.994371
10	2.1157894736842104	1190.378593	-5648.463243
11	2.1473684210526316	1215.322331	706.582126
12	2.1789473684210527	1049.473352	2240.176893
13	2.2105263157894735	882.931017	2013.410661
14	2.2421052631578946	749.160471	1540.624089
15	2.2736842105263158	645.289744	1151.095863
16	2.305263157894737	562.981017	879.570084
17	2.336842105263158	495.126305	695.649279
18	2.3684210526315788	437.432306	561.997697
19	2.4	387.632491	507.471433
