slice	rho_of_slice	gamma	lambda
0	1.3	-569.487057	-565.363860
1	1.323076923076923	-546.711409	-532.968922
2	1.3461538461538463	-526.173809	-467.204290
3	1.3692307692307693	-508.803713	-386.882637
4	1.3923076923076925	-495.089648	-299.006832
5	1.4153846153846155	-485.299105	-206.876048
6	1.4384615384615385	-479.600062	-117.491029
7	1.4615384615384617	-477.597982	-42.447756
8	1.4846153846153847	-478.376772	13.716781
9	1.5076923076923077	-481.113976	52.917300
10	1.5307692307692309	-485.064858	76.492982
11	1.5538461538461539	-489.528364	85.497993
12	1.576923076923077	-493.857360	81.590890
13	1.6	-497.506407	67.121336
14	1.623076923076923	-500.049442	45.099100
15	1.6461538461538463	-501.223924	20.949207
16	1.6692307692307693	-501.109371	0.517099
17	1.6923076923076925	-499.984438	-13.994228
18	1.7153846153846155	-498.130906	-22.769759
19	1.7384615384615385	-495.808411	-26.461929
20	1.7615384615384617	-493.235927	-25.851893
21	1.7846153846153847	-490.598106	-21.689059
22	1.807692307692308	-488.041662	-14.614310
23	1.830769230769231	-485.688957	-4.961370
24	1.853846153846154	-483.652591	6.956801
25	1.8769230769230771	-482.022384	20.543648
26	1.9000000000000001	-480.852211	35.399630
27	1.9230769230769234	-480.191680	51.508084
28	1.9461538461538463	-480.089580	68.826433
29	1.9692307692307693	-480.587722	87.631485
30	1.9923076923076923	-481.756362	108.723010
31	2.0153846153846153	-483.705886	132.718552
32	2.0384615384615388	-486.556593	159.809876
33	2.0615384615384618	-490.428580	190.274760
34	2.0846153846153848	-495.458908	224.515916
35	2.1076923076923078	-501.794371	261.914373
36	2.130769230769231	-509.502826	299.782962
37	2.153846153846154	-518.472129	333.902081
38	2.176923076923077	-528.375042	361.199451
39	2.2	-538.818072	379.305468
