nr_slice	rho	gamma	lambda
0	1.3	-728.702880	-192.707867
1	1.323076923076923	-722.244074	-180.144087
2	1.3461538461538463	-716.235090	-151.660443
3	1.3692307692307693	-711.734928	-103.062567
4	1.3923076923076925	-709.570934	-37.947464
5	1.4153846153846155	-710.458114	41.944550
6	1.4384615384615385	-715.049423	129.645981
7	1.4615384615384617	-723.401318	211.922675
8	1.4846153846153847	-734.932835	281.791408
9	1.5076923076923077	-749.049613	339.018276
10	1.5307692307692309	-765.145562	382.503775
11	1.5538461538461539	-782.523883	410.388787
12	1.576923076923077	-800.408985	421.557046
13	1.6	-818.006449	415.784576
14	1.623076923076923	-834.528393	394.199691
15	1.6461538461538463	-849.295487	362.555340
16	1.6692307692307693	-862.062633	329.759498
17	1.6923076923076925	-872.979566	301.070105
18	1.7153846153846155	-882.287575	277.782848
19	1.7384615384615385	-890.255133	260.201268
20	1.7615384615384617	-897.149422	248.486409
21	1.7846153846153847	-903.250791	242.668627
22	1.807692307692308	-908.825123	242.410879
23	1.830769230769231	-914.116875	247.558758
24	1.853846153846154	-919.372338	258.105541
25	1.8769230769230771	-924.829042	273.679399
26	1.9000000000000001	-930.692017	294.091654
27	1.9230769230769234	-937.174337	319.537985
28	1.9461538461538463	-944.491011	350.078878
29	1.9692307692307693	-952.851624	386.062581
30	1.9923076923076923	-962.493368	428.001166
31	2.0153846153846153	-973.661289	476.054256
32	2.0384615384615388	-986.594036	530.098900
33	2.0615384615384618	-1001.510916	589.948969
34	2.0846153846153848	-1018.618175	655.288401
35	2.1076923076923078	-1038.089630	724.226091
36	2.130769230769231	-1059.940098	791.564922
37	2.153846153846154	-1083.850617	849.502800
38	2.176923076923077	-1109.113658	892.446521
39	2.2	-1134.906545	922.113544
