slice	rho_of_slice	gamma	lambda
0	1.5	-425.363052	260.920629
1	1.528205128205128	-444.950130	278.474324
2	1.5564102564102564	-465.805430	305.095115
3	1.5846153846153845	-487.639846	327.859769
4	1.6128205128205129	-510.251263	353.673994
5	1.641025641025641	-534.120885	389.477645
6	1.6692307692307693	-559.825408	437.541896
7	1.6974358974358974	-588.094085	500.763678
8	1.7256410256410257	-619.817168	583.199006
9	1.7538461538461538	-656.161404	690.155438
10	1.7820512820512822	-698.586999	826.883602
11	1.8102564102564103	-748.812431	1000.267281
12	1.8384615384615386	-809.019095	1221.785915
13	1.8666666666666667	-882.145062	1509.343687
14	1.8948717948717948	-972.287040	1889.322827
15	1.9230769230769231	-1085.211076	2398.574231
16	1.9512820512820515	-1228.956649	3079.902959
17	1.9794871794871796	-1413.806162	3977.489232
18	2.0076923076923077	-1652.343874	5113.004193
19	2.0358974358974358	-1956.697569	6349.483618
20	2.0641025641025643	-2323.272105	6888.139063
21	2.0923076923076924	-2673.632058	3583.424892
22	2.1205128205128205	-2651.090738	-10752.616567
23	2.148717948717949	-1377.876196	-31454.859021
24	2.176923076923077	942.542947	-31588.294441
25	2.2051282051282053	2146.295703	-11915.967994
26	2.2333333333333334	2195.027569	1374.953101
27	2.2615384615384615	1890.390851	4831.084021
28	2.2897435897435896	1556.352080	4682.754925
29	2.317948717948718	1278.770333	3671.623793
30	2.3461538461538463	1068.083238	2663.347849
31	2.3743589743589744	911.404603	1879.457679
32	2.402564102564103	794.322415	1307.125284
33	2.430769230769231	705.782798	899.159488
34	2.458974358974359	637.033349	632.327430
35	2.4871794871794872	579.956930	484.876396
36	2.5153846153846153	528.653768	421.153599
37	2.5435897435897434	479.383068	395.194001
38	2.571794871794872	431.707877	358.761739
39	2.6	387.360776	335.719066
