nr_slice	rho	gamma	lambda
0	1.8	-729.520965	1024.700853
1	1.8315789473684212	-793.265003	1164.839893
2	1.8631578947368421	-872.218434	1472.647459
3	1.8947368421052633	-971.806917	1892.348863
4	1.9263157894736842	-1099.975178	2474.296899
5	1.9578947368421054	-1268.178243	3278.422962
6	1.9894736842105263	-1491.428209	4363.031933
7	2.0210526315789474	-1787.811948	5707.569712
8	2.0526315789473686	-2168.730475	6800.932207
9	2.0842105263157893	-2586.635956	4950.917406
10	2.1157894736842104	-2713.511889	-8043.949905
11	2.1473684210526316	-1477.093810	-29630.690784
12	2.1789473684210527	1083.261444	-29626.244252
13	2.2105263157894735	2214.536407	-9018.312864
14	2.2421052631578946	2114.950129	2856.385021
15	2.2736842105263158	1742.449739	4908.594190
16	2.305263157894737	1395.020550	4150.400294
17	2.336842105263158	1130.900110	2985.283910
18	2.3684210526315788	940.668535	2035.385980
19	2.4	803.641351	1651.794466
