nr_slice	rho	gamma	lambda
0	1.4	199.637565	-343.552514
1	1.426530612244898	223.400455	98.495369
2	1.4530612244897958	200.421885	1194.323070
3	1.4795918367346939	105.151835	1995.357477
4	1.5061224489795917	-8.984161	1725.119812
5	1.5326530612244897	-81.495304	931.964947
6	1.5591836734693878	-114.446349	359.781297
7	1.5857142857142856	-127.073396	90.774381
8	1.6122448979591837	-131.384692	-10.445915
9	1.6387755102040815	-132.870470	-38.078260
10	1.6653061224489796	-133.782927	-36.904628
11	1.6918367346938776	-134.939008	-26.291828
12	1.7183673469387755	-136.554154	-15.475431
13	1.7448979591836735	-138.463552	-9.388078
14	1.7714285714285714	-140.349917	-9.335604
15	1.7979591836734694	-141.900958	-14.683748
16	1.8244897959183675	-142.861435	-23.894545
17	1.8510204081632653	-143.080548	-34.482212
18	1.8775510204081634	-142.568082	-43.783460
19	1.9040816326530612	-141.458862	-50.149249
20	1.9306122448979592	-139.940559	-53.035868
21	1.9571428571428573	-138.207359	-52.616139
22	1.9836734693877551	-136.428705	-49.455654
23	2.010204081632653	-134.737445	-44.159450
24	2.036734693877551	-133.236412	-37.219632
25	2.063265306122449	-132.003013	-29.096239
26	2.089795918367347	-131.087437	-20.111129
27	2.1163265306122447	-130.528721	-10.459263
28	2.142857142857143	-130.351629	-0.464821
29	2.169387755102041	-130.555952	9.628038
30	2.195918367346939	-131.136026	19.797906
31	2.222448979591837	-132.084765	29.827743
32	2.2489795918367346	-133.368588	39.130601
33	2.2755102040816326	-134.913373	47.304363
34	2.3020408163265307	-136.639466	54.249315
35	2.3285714285714287	-138.459294	59.303922
36	2.355102040816327	-140.220780	61.337861
37	2.3816326530612244	-141.717340	60.697436
38	2.408163265306123	-142.838505	59.486046
39	2.4346938775510205	-143.602902	59.662237
40	2.4612244897959186	-144.102812	62.452640
41	2.4877551020408166	-144.475195	68.421668
42	2.5142857142857142	-144.852913	78.175503
43	2.5408163265306127	-145.412988	92.774132
44	2.5673469387755103	-146.366359	112.175335
45	2.5938775510204084	-147.837172	135.553900
46	2.6204081632653065	-149.892285	161.906002
47	2.646938775510204	-152.481713	189.443111
48	2.673469387755102	-155.406723	223.594478
49	2.7	-159.108269	261.022183
