nr_slice	rho	gamma	lambda
0	1.4	74.856838	100.428218
1	1.4684210526315788	67.782877	98.504920
2	1.5368421052631578	56.002894	75.471258
3	1.6052631578947367	50.772865	29.388073
4	1.6736842105263157	49.261916	8.117585
5	1.7421052631578946	48.369382	0.364978
6	1.8105263157894738	47.711968	-5.941072
7	1.8789473684210527	47.367939	-13.588559
8	1.9473684210526316	47.659182	-24.828833
9	2.015789473684211	49.216862	-39.542296
10	2.0842105263157897	52.220871	-50.545658
11	2.1526315789473687	55.181481	-49.411866
12	2.2210526315789476	55.926636	-37.174644
13	2.2894736842105265	53.429639	-20.887067
14	2.3578947368421055	47.710708	-12.104590
15	2.4263157894736844	41.139670	-21.322257
16	2.4947368421052634	36.301986	-43.566437
17	2.5631578947368423	33.341918	-62.951086
18	2.6315789473684212	29.685109	-56.392796
19	2.7	19.044463	-46.101064
