0.182 0.123 0.225 0.237 0.199 0.153 0.225 0.263 0.182 0.195 0.208 0.199 0.233 0.203 0.225 0.225 0.246 0.271 0.288 0.301 0.284 0.373 0.335 0.407 0.356 0.390 0.398 0.530 0.407 0.381 0.284 0.161 0.059 0.030 0.097 0.208 0.352 0.470 0.398 0.496 0.644 0.504 0.500 0.496 0.398 0.343 0.297 0.288 0.242 0.263 0.233 0.182 0.254 0.114 0.191 0.119 0.136 0.110 0.119 0.144 0.089 0.110 0.102 0.114 0.114 0.148 0.114 0.081 0.093 0.131 0.085 0.131 0.140 0.123 0.106 0.119 0.127 0.161 0.093 0.110 0.161 0.144 0.178 0.157 0.157 0.250 0.148 0.178 0.208 0.233 0.178 0.195 0.191 0.195 0.216 0.157 0.161 0.174 0.165 0.169 
0.136 0.178 0.161 0.169 0.157 0.186 0.212 0.174 0.161 0.216 0.182 0.195 0.182 0.254 0.267 0.216 0.267 0.233 0.263 0.284 0.326 0.275 0.377 0.500 0.445 0.462 0.432 0.572 0.542 0.487 0.267 0.174 0.076 0.034 0.093 0.212 0.364 0.500 0.453 0.424 0.585 0.547 0.521 0.407 0.466 0.314 0.208 0.301 0.216 0.216 0.216 0.191 0.169 0.140 0.140 0.110 0.110 0.127 0.081 0.106 0.123 0.131 0.110 0.140 0.085 0.076 0.076 0.076 0.123 0.131 0.081 0.144 0.123 0.110 0.110 0.089 0.140 0.165 0.136 0.110 0.102 0.153 0.174 0.169 0.114 0.153 0.195 0.157 0.186 0.216 0.191 0.174 0.165 0.186 0.216 0.225 0.148 0.195 0.216 0.203 
0.212 0.191 0.157 0.131 0.203 0.174 0.229 0.216 0.169 0.254 0.178 0.144 0.229 0.178 0.246 0.237 0.225 0.229 0.220 0.288 0.292 0.305 0.339 0.364 0.394 0.517 0.551 0.428 0.364 0.475 0.428 0.225 0.119 0.013 0.072 0.233 0.364 0.589 0.479 0.568 0.631 0.602 0.597 0.492 0.449 0.419 0.335 0.335 0.339 0.254 0.191 0.229 0.220 0.140 0.140 0.085 0.140 0.148 0.136 0.119 0.076 0.085 0.093 0.085 0.102 0.148 0.140 0.123 0.119 0.127 0.114 0.081 0.106 0.110 0.136 0.119 0.102 0.131 0.161 0.127 0.119 0.174 0.131 0.208 0.140 0.169 0.191 0.242 0.208 0.195 0.157 0.220 0.216 0.242 0.195 0.153 0.148 0.169 0.212 0.123 
0.144 0.161 0.148 0.157 0.178 0.140 0.182 0.195 0.225 0.186 0.178 0.182 0.203 0.246 0.242 0.220 0.271 0.267 0.301 0.280 0.381 0.390 0.343 0.424 0.381 0.492 0.508 0.479 0.449 0.513 0.225 0.199 0.093 0.025 0.064 0.191 0.352 0.521 0.500 0.716 0.686 0.517 0.517 0.483 0.436 0.419 0.305 0.258 0.284 0.258 0.186 0.242 0.258 0.178 0.250 0.153 0.178 0.136 0.191 0.085 0.110 0.097 0.123 0.161 0.161 0.161 0.136 0.106 0.127 0.114 0.110 0.097 0.106 0.140 0.119 0.114 0.127 0.076 0.161 0.157 0.110 0.131 0.136 0.186 0.191 0.174 0.186 0.186 0.178 0.212 0.182 0.182 0.242 0.212 0.169 0.216 0.140 0.165 0.157 0.203 
0.153 0.169 0.208 0.208 0.169 0.186 0.225 0.165 0.186 0.178 0.182 0.178 0.174 0.212 0.263 0.271 0.246 0.267 0.297 0.326 0.280 0.352 0.415 0.449 0.449 0.453 0.432 0.517 0.432 0.453 0.305 0.153 0.068 0.042 0.081 0.237 0.364 0.390 0.475 0.585 0.559 0.534 0.508 0.500 0.398 0.369 0.246 0.220 0.237 0.212 0.225 0.229 0.186 0.140 0.140 0.127 0.102 0.136 0.136 0.119 0.136 0.110 0.097 0.089 0.089 0.102 0.119 0.127 0.140 0.093 0.089 0.076 0.097 0.081 0.123 0.110 0.119 0.191 0.114 0.131 0.161 0.127 0.127 0.186 0.106 0.169 0.250 0.140 0.178 0.153 0.191 0.216 0.233 0.144 0.258 0.191 0.186 0.182 0.174 0.178 
0.216 0.191 0.191 0.119 0.246 0.161 0.195 0.199 0.191 0.165 0.169 0.153 0.191 0.220 0.237 0.191 0.250 0.267 0.271 0.309 0.314 0.373 0.360 0.428 0.364 0.432 0.360 0.462 0.445 0.381 0.309 0.182 0.081 0.004 0.064 0.309 0.203 0.322 0.479 0.640 0.500 0.500 0.470 0.331 0.326 0.398 0.246 0.288 0.275 0.212 0.233 0.216 0.212 0.186 0.178 0.144 0.144 0.165 0.102 0.106 0.114 0.110 0.148 0.169 0.106 0.119 0.131 0.119 0.106 0.119 0.081 0.140 0.093 0.127 0.102 0.114 0.089 0.106 0.123 0.119 0.140 0.165 0.114 0.144 0.110 0.165 0.123 0.110 0.127 0.203 0.182 0.199 0.119 0.148 0.199 0.174 0.148 0.191 0.178 0.191 
0.169 0.174 0.191 0.165 0.191 0.140 0.186 0.203 0.157 0.191 0.169 0.178 0.203 0.225 0.242 0.233 0.267 0.208 0.292 0.242 0.271 0.331 0.381 0.403 0.424 0.458 0.411 0.576 0.458 0.343 0.318 0.182 0.064 0.013 0.064 0.233 0.271 0.343 0.453 0.525 0.492 0.487 0.441 0.462 0.364 0.305 0.284 0.271 0.250 0.225 0.216 0.161 0.208 0.123 0.148 0.093 0.110 0.131 0.123 0.131 0.106 0.123 0.072 0.072 0.097 0.093 0.127 0.123 0.136 0.076 0.097 0.106 0.072 0.097 0.089 0.102 0.144 0.148 0.127 0.144 0.102 0.140 0.182 0.140 0.169 0.153 0.208 0.186 0.148 0.174 0.178 0.203 0.182 0.182 0.144 0.169 0.136 0.182 0.203 0.144 
0.186 0.153 0.165 0.144 0.157 0.127 0.195 0.182 0.195 0.208 0.136 0.229 0.229 0.203 0.233 0.161 0.297 0.258 0.237 0.271 0.331 0.203 0.322 0.390 0.500 0.538 0.530 0.542 0.492 0.242 0.267 0.136 0.081 0.030 0.114 0.297 0.250 0.390 0.449 0.555 0.589 0.496 0.335 0.432 0.347 0.314 0.280 0.318 0.271 0.250 0.153 0.191 0.220 0.161 0.157 0.131 0.157 0.165 0.097 0.131 0.157 0.157 0.123 0.131 0.169 0.102 0.119 0.119 0.093 0.136 0.123 0.153 0.136 0.106 0.123 0.114 0.097 0.136 0.123 0.119 0.131 0.136 0.169 0.174 0.140 0.153 0.195 0.178 0.157 0.148 0.178 0.182 0.148 0.161 0.165 0.131 0.144 0.186 0.191 0.186 
0.144 0.174 0.161 0.208 0.169 0.195 0.161 0.165 0.136 0.178 0.254 0.191 0.186 0.212 0.229 0.199 0.208 0.258 0.258 0.258 0.326 0.318 0.369 0.398 0.441 0.521 0.517 0.513 0.542 0.360 0.326 0.174 0.034 0.017 0.114 0.301 0.314 0.335 0.453 0.504 0.466 0.534 0.445 0.432 0.305 0.314 0.318 0.246 0.267 0.195 0.220 0.186 0.161 0.131 0.182 0.123 0.140 0.123 0.203 0.144 0.097 0.102 0.081 0.119 0.119 0.114 0.144 0.081 0.136 0.081 0.114 0.123 0.106 0.136 0.157 0.131 0.136 0.110 0.119 0.127 0.157 0.161 0.127 0.161 0.131 0.157 0.195 0.148 0.195 0.153 0.182 0.182 0.169 0.157 0.199 0.216 0.212 0.169 0.216 0.225 
0.178 0.182 0.157 0.178 0.250 0.127 0.208 0.216 0.174 0.165 0.169 0.174 0.144 0.136 0.195 0.216 0.220 0.250 0.233 0.242 0.360 0.297 0.377 0.411 0.411 0.428 0.487 0.475 0.394 0.377 0.258 0.153 0.017 0.021 0.030 0.250 0.322 0.453 0.386 0.500 0.576 0.500 0.462 0.466 0.369 0.394 0.326 0.258 0.195 0.212 0.178 0.178 0.157 0.136 0.157 0.157 0.114 0.127 0.174 0.119 0.085 0.153 0.089 0.097 0.110 0.123 0.119 0.089 0.127 0.093 0.127 0.114 0.119 0.119 0.110 0.106 0.089 0.144 0.148 0.140 0.153 0.110 0.182 0.127 0.182 0.131 0.165 0.174 0.169 0.157 0.140 0.182 0.220 0.165 0.157 0.208 0.153 0.174 0.182 0.186 
